Theta,Radius,Area
0,6.69019e-16,0
0.0317333,0.0122207,0.000421437
0.0634665,0.0245348,0.00169796
0.0951998,0.0370101,0.00386239
0.126933,0.0496831,0.00695775
0.158666,0.0625486,0.0110226
0.1904,0.0755558,0.0160751
0.222133,0.0886099,0.0220989
0.253866,0.10158,0.0290321
0.285599,0.114309,0.0367627
0.317333,0.126633,0.04513
0.349066,0.138395,0.0539356
0.380799,0.149459,0.0629597
0.412532,0.159726,0.0719829
0.444266,0.169139,0.0808082
0.475999,0.177685,0.0892788
0.507732,0.185396,0.0972896
0.539465,0.192335,0.104791
0.571199,0.198589,0.111785
0.602932,0.204256,0.118316
0.634665,0.209432,0.124456
0.666398,0.214199,0.130289
0.698132,0.21862,0.135889
0.729865,0.222734,0.141306
0.761598,0.226557,0.146559
0.793331,0.230087,0.15164
0.825065,0.233308,0.156533
0.856798,0.236198,0.161211
0.888531,0.238734,0.165631
0.920265,0.240899,0.16972
0.951998,0.242683,0.173371
0.983731,0.244082,0.176449
1.01546,0.2451,0.178828
1.0472,0.245745,0.18042
1.07893,0.246025,0.181187
1.11066,0.245945,0.181147
1.1424,0.245504,0.180355
1.17413,0.244691,0.178885
1.20586,0.243486,0.176807
1.2376,0.241861,0.174161
1.26933,0.239781,0.170955
1.30106,0.237215,0.16717
1.3328,0.23414,0.162771
1.36453,0.230549,0.157737
1.39626,0.226465,0.152086
1.428,0.221939,0.14589
1.45973,0.217063,0.139286
1.49146,0.211958,0.132461
1.5232,0.206776,0.125637
1.55493,0.201684,0.119039
1.58666,0.196854,0.112874
1.6184,0.192449,0.107305
1.65013,0.188608,0.102426
1.68186,0.185442,0.0982649
1.7136,0.183023,0.0947948
1.74533,0.181385,0.0919597
1.77706,0.180525,0.089696
1.8088,0.1804,0.0879469
1.84053,0.180932,0.0867061
1.87226,0.182008,0.0860337
1.904,0.183485,0.0858793
1.93573,0.185197,0.0861772
1.96746,0.186964,0.0867534
1.9992,0.188612,0.0874353
2.03093,0.189985,0.0880559
2.06266,0.190969,0.0884422
2.0944,0.191495,0.0884348
2.12613,0.191546,0.0879196
2.15786,0.191152,0.0868537
2.18959,0.190383,0.0852767
2.22133,0.189331,0.0833084
2.25306,0.188101,0.0811337
2.28479,0.186791,0.0789804
2.31653,0.185482,0.0770861
2.34826,0.18423,0.0756568
2.37999,0.183058,0.0748247
2.41173,0.181955,0.0746245
2.44346,0.180877,0.0749928
2.47519,0.17975,0.0757764
2.50693,0.178472,0.0767449
2.53866,0.176917,0.0776094
2.57039,0.174936,0.0780516
2.60213,0.172372,0.0777601
2.63386,0.169067,0.0764698
2.66559,0.16488,0.073997
2.69733,0.159698,0.0702646
2.72906,0.153449,0.0653115
2.76079,0.146107,0.0592872
2.79253,0.13769,0.0524327
2.82426,0.128259,0.0450545
2.85599,0.117904,0.0374926
2.88773,0.10673,0.0300884
2.91946,0.0948524,0.0231536
2.95119,0.082378,0.0169428
2.98293,0.0694063,0.0116361
3.01466,0.0560255,0.00733181
3.04639,0.0423156,0.00405443
3.07813,0.0283541,0.00177468
3.10986,0.0142207,0.000439016
3.14159,1.32659e-15,4.26159e-17
