Theta,Radius,Area
0,1.249e-16,0
0.0317333,0.012044,0.000430315
0.0634665,0.0241294,0.00172157
0.0951998,0.0362744,0.00387228
0.126933,0.048474,0.0068725
0.158666,0.0606932,0.010695
0.1904,0.0728647,0.015287
0.222133,0.084892,0.0205652
0.253866,0.0966567,0.026417
0.285599,0.108029,0.0327067
0.317333,0.118883,0.039286
0.349066,0.129109,0.0460067
0.380799,0.138625,0.0527307
0.412532,0.147389,0.0593389
0.444266,0.155399,0.0657385
0.475999,0.162699,0.0718683
0.507732,0.169367,0.077702
0.539465,0.17551,0.0832493
0.571199,0.181251,0.0885533
0.602932,0.186715,0.0936845
0.634665,0.192015,0.0987316
0.666398,0.19724,0.10379
0.698132,0.202444,0.108948
0.729865,0.207641,0.114277
0.761598,0.2128,0.119825
0.793331,0.21785,0.125612
0.825065,0.22269,0.131613
0.856798,0.2272,0.137748
0.888531,0.231262,0.143863
0.920265,0.234776,0.149737
0.951998,0.237673,0.155116
0.983731,0.239921,0.159763
1.01546,0.241532,0.163502
1.0472,0.242553,0.166244
1.07893,0.243057,0.167988
1.11066,0.243129,0.168806
1.1424,0.242852,0.168816
1.17413,0.242292,0.168155
1.20586,0.241488,0.166947
1.2376,0.240443,0.165286
1.26933,0.239125,0.163214
1.30106,0.237471,0.160706
1.3328,0.235402,0.157677
1.36453,0.232834,0.154022
1.39626,0.2297,0.149683
1.428,0.225963,0.144681
1.45973,0.221633,0.139118
1.49146,0.216775,0.13316
1.5232,0.211507,0.127004
1.55493,0.206,0.120849
1.58666,0.200456,0.114875
1.6184,0.195096,0.109236
1.65013,0.190131,0.104055
1.68186,0.185743,0.0994226
1.7136,0.182063,0.0953918
1.74533,0.179162,0.0919753
1.77706,0.177045,0.0891647
1.8088,0.175659,0.0870746
1.84053,0.174902,0.0857691
1.87226,0.174638,0.0849352
1.904,0.174717,0.0843202
1.93573,0.174982,0.0837741
1.96746,0.175289,0.0832213
1.9992,0.175514,0.0826348
2.03093,0.175569,0.0819511
2.06266,0.175407,0.0810679
2.0944,0.175025,0.0799439
2.12613,0.174465,0.0786314
2.15786,0.173797,0.0772537
2.18959,0.173114,0.0759673
2.22133,0.172509,0.0749249
2.25306,0.172066,0.0742446
2.28479,0.171843,0.0739915
2.31653,0.171866,0.0741726
2.34826,0.172118,0.0747428
2.37999,0.172544,0.075616
2.41173,0.173046,0.0766709
2.44346,0.173492,0.0777496
2.47519,0.173723,0.0786608
2.50693,0.173567,0.079195
2.53866,0.172845,0.0791444
2.57039,0.17139,0.0783223
2.60213,0.169055,0.0765816
2.63386,0.165727,0.073832
2.66559,0.16133,0.0700533
2.69733,0.155834,0.0653009
2.72906,0.149245,0.0597037
2.76079,0.141609,0.0534515
2.79253,0.132998,0.0467765
2.82426,0.123504,0.0399296
2.85599,0.113226,0.0331579
2.88773,0.102266,0.0266846
2.91946,0.0907176,0.0206962
2.95119,0.0786699,0.0153365
2.98293,0.0662015,0.0107069
3.01466,0.0533846,0.00687278
3.04639,0.0402878,0.00387155
3.07813,0.0269786,0.00172168
3.10986,0.0135257,0.000430491
3.14159,1.27853e-15,2.99376e-17
