Theta,Radius,Area
0,1.35109e-15,0
0.0317333,0.0163008,0.000593549
0.0634665,0.0323313,0.00235425
0.0951998,0.0478598,0.00522855
0.126933,0.0627227,0.00914499
0.158666,0.076841,0.0140312
0.1904,0.0902185,0.0198228
0.222133,0.102923,0.0264604
0.253866,0.115055,0.0338743
0.285599,0.12671,0.0419673
0.317333,0.137949,0.0505984
0.349066,0.148779,0.0595749
0.380799,0.159149,0.0686538
0.412532,0.168954,0.0775504
0.444266,0.178053,0.0859521
0.475999,0.186285,0.0935381
0.507732,0.193493,0.100002
0.539465,0.199538,0.105082
0.571199,0.204317,0.108586
0.602932,0.207779,0.110421
0.634665,0.209935,0.110604
0.666398,0.210865,0.109272
0.698132,0.210722,0.106677
0.729865,0.209723,0.103171
0.761598,0.208135,0.0991916
0.793331,0.206254,0.095309
0.825065,0.204377,0.0922375
0.856798,0.202767,0.0901959
0.888531,0.201631,0.0891686
0.920265,0.201096,0.0891115
0.951998,0.201198,0.0899203
0.983731,0.201883,0.0914408
1.01546,0.203017,0.0934856
1.0472,0.204408,0.0958486
1.07893,0.205828,0.09832
1.11066,0.20705,0.100703
1.1424,0.207878,0.102833
1.17413,0.208178,0.104601
1.20586,0.207897,0.105953
1.2376,0.207079,0.106891
1.26933,0.205853,0.107488
1.30106,0.204417,0.107906
1.3328,0.203007,0.108407
1.36453,0.201869,0.109284
1.39626,0.20123,0.110742
1.428,0.201284,0.112815
1.45973,0.202187,0.115441
1.49146,0.204047,0.118686
1.5232,0.206923,0.122712
1.55493,0.210806,0.127674
1.58666,0.215617,0.133643
1.6184,0.2212,0.140591
1.65013,0.227339,0.148391
1.68186,0.233774,0.156822
1.7136,0.240229,0.165591
1.74533,0.246446,0.17435
1.77706,0.252204,0.182736
1.8088,0.257338,0.190407
1.84053,0.261752,0.197079
1.87226,0.265409,0.202552
1.904,0.268326,0.206722
1.93573,0.270561,0.209584
1.96746,0.27219,0.211215
1.9992,0.273295,0.211757
2.03093,0.273945,0.211391
2.06266,0.274193,0.210299
2.0944,0.274066,0.208635
2.12613,0.273567,0.206487
2.15786,0.272675,0.20386
2.18959,0.271357,0.20069
2.22133,0.269571,0.196884
2.25306,0.26728,0.192362
2.28479,0.264455,0.187084
2.31653,0.261085,0.181066
2.34826,0.257178,0.17438
2.37999,0.252761,0.167136
2.41173,0.247871,0.159469
2.44346,0.242547,0.151511
2.47519,0.236824,0.143375
2.50693,0.230715,0.135143
2.53866,0.224218,0.12687
2.57039,0.217302,0.118578
2.60213,0.209923,0.110263
2.63386,0.20202,0.101907
2.66559,0.19353,0.0934943
2.69733,0.184395,0.0850229
2.72906,0.174571,0.0765057
2.76079,0.164033,0.0679721
2.79253,0.152781,0.0594706
2.82426,0.140841,0.0510723
2.85599,0.128264,0.042874
2.88773,0.115121,0.0349968
2.91946,0.101501,0.0275805
2.95119,0.0874985,0.0207751
2.98293,0.0732114,0.0147304
3.01466,0.0587274,0.00958561
3.04639,0.0441195,0.0054602
3.07813,0.029442,0.00244807
3.10986,0.0147292,0.000615164
3.14159,1.49925e-15,3.09595e-17
