Theta,Radius,Area
0,1.00774e-15,0
0.0317333,0.0142125,0.000394197
0.0634665,0.0283649,0.00159997
0.0951998,0.0423936,0.00367646
0.126933,0.05623,0.00669197
0.158666,0.0697984,0.0106914
0.1904,0.0830129,0.0156681
0.222133,0.0957759,0.0215469
0.253866,0.107977,0.0281791
0.285599,0.119496,0.0353494
0.317333,0.130209,0.0427914
0.349066,0.139997,0.0502073
0.380799,0.148756,0.0572904
0.412532,0.15641,0.0637458
0.444266,0.162917,0.0693118
0.475999,0.168278,0.0737808
0.507732,0.172533,0.0770204
0.539465,0.175763,0.0789914
0.571199,0.178081,0.0797601
0.602932,0.17962,0.0795038
0.634665,0.180522,0.0784995
0.666398,0.180927,0.0770828
0.698132,0.180962,0.0755689
0.729865,0.180729,0.0741814
0.761598,0.180302,0.0730301
0.793331,0.179726,0.0721273
0.825065,0.179018,0.0714135
0.856798,0.17817,0.0707861
0.888531,0.177165,0.0701306
0.920265,0.17598,0.0693543
0.951998,0.174603,0.0684215
0.983731,0.173041,0.0673774
1.01546,0.171324,0.0663512
1.0472,0.169513,0.0655385
1.07893,0.167691,0.065138
1.11066,0.165959,0.065239
1.1424,0.164419,0.0658055
1.17413,0.163165,0.0667588
1.20586,0.162274,0.0680343
1.2376,0.161813,0.0695961
1.26933,0.161838,0.0714392
1.30106,0.162394,0.0735915
1.3328,0.163517,0.0761099
1.36453,0.165222,0.0790453
1.39626,0.167509,0.0824158
1.428,0.17036,0.0862326
1.45973,0.173745,0.0905148
1.49146,0.177621,0.095273
1.5232,0.181935,0.100495
1.55493,0.186625,0.106141
1.58666,0.191622,0.112131
1.6184,0.19685,0.118365
1.65013,0.202227,0.124736
1.68186,0.207663,0.131162
1.7136,0.213065,0.137581
1.74533,0.218335,0.143939
1.77706,0.223379,0.150174
1.8088,0.228107,0.156198
1.84053,0.232442,0.1619
1.87226,0.236323,0.167148
1.904,0.239707,0.17181
1.93573,0.24257,0.17577
1.96746,0.244909,0.178942
1.9992,0.246734,0.181281
2.03093,0.248073,0.182779
2.06266,0.248956,0.183469
2.0944,0.249423,0.183411
2.12613,0.249507,0.182682
2.15786,0.249236,0.181358
2.18959,0.248626,0.179503
2.22133,0.247681,0.177158
2.25306,0.246387,0.174333
2.28479,0.244714,0.171014
2.31653,0.242621,0.167164
2.34826,0.240053,0.162735
2.37999,0.236953,0.157676
2.41173,0.233263,0.151954
2.44346,0.228934,0.145559
2.47519,0.22393,0.138515
2.50693,0.218228,0.130882
2.53866,0.211825,0.122752
2.57039,0.204735,0.114228
2.60213,0.196982,0.10542
2.63386,0.188604,0.0964314
2.66559,0.179643,0.087355
2.69733,0.170146,0.0782797
2.72906,0.160159,0.0692935
2.76079,0.149729,0.060489
2.79253,0.138896,0.0519647
2.82426,0.127699,0.0438211
2.85599,0.116165,0.0361554
2.88773,0.104318,0.0290558
2.91946,0.0921692,0.0225985
2.95119,0.0797278,0.0168476
2.98293,0.067001,0.0118585
3.01466,0.0540018,0.00768157
3.04639,0.0407543,0.00436527
3.07813,0.0272982,0.00195538
3.10986,0.0136898,0.000491271
3.14159,1.23311e-15,1.69669e-17
