Dataset,SourceDataset,Side,Split,Rows,Class0,Class1,Features,PLSDA,File
All_coef,ALL,left,train,298,191,107,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef\left\All_coef_Left_train_coef_features.csv
All_coef,ALL,left,test,75,48,27,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef\left\All_coef_Left_test_coef_features.csv
All_coef,ALL,right,train,302,220,82,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef\right\All_coef_Right_train_coef_features.csv
All_coef,ALL,right,test,75,55,20,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef\right\All_coef_Right_test_coef_features.csv
All_coef_Ds004469,Ds004469,left,train,54,37,17,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds004469\left\All_coef_Ds004469_Left_train_coef_features.csv
All_coef_Ds004469,Ds004469,left,test,12,10,2,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds004469\left\All_coef_Ds004469_Left_test_coef_features.csv
All_coef_Ds004469,Ds004469,right,train,53,42,11,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds004469\right\All_coef_Ds004469_Right_train_coef_features.csv
All_coef_Ds004469,Ds004469,right,test,12,11,1,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds004469\right\All_coef_Ds004469_Right_test_coef_features.csv
All_coef_Ds005602,Ds005602,left,train,244,154,90,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds005602\left\All_coef_Ds005602_Left_train_coef_features.csv
All_coef_Ds005602,Ds005602,left,test,63,38,25,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds005602\left\All_coef_Ds005602_Left_test_coef_features.csv
All_coef_Ds005602,Ds005602,right,train,249,178,71,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds005602\right\All_coef_Ds005602_Right_train_coef_features.csv
All_coef_Ds005602,Ds005602,right,test,63,44,19,507,False,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\All_coef_Ds005602\right\All_coef_Ds005602_Right_test_coef_features.csv
