Cohort,Side,Model,CV_BalancedAccuracy,CV_F1_Macro,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,RunDir,Status,Error
All_coef,left,SVM,0.8304545676958457,0.8411755748439165,0.8666666666666667,0.8553240740740741,0.8148148148148148,0.8958333333333334,0.8553240740740741,0.8950617283950617,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\SVM\20260919_161322,,
All_coef,left,MLP,0.8386749522924108,0.8442120985810306,0.8133333333333334,0.8055555555555556,0.7777777777777778,0.8333333333333334,0.800531914893617,0.8618827160493828,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\MLP\20260919_161323,,
All_coef,left,ResNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,left,ResNetAE,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,left,MobileNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,left,SqueezeNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,right,SVM,0.8255543237250554,0.8502591841334235,0.8266666666666667,0.7545454545454545,0.6,0.9090909090909091,0.7668022004305189,0.8945454545454545,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\SVM\20260919_161328,,
All_coef,right,MLP,0.8614190687361419,0.8741576262662547,0.8533333333333334,0.8045454545454545,0.7,0.9090909090909091,0.8094248094248094,0.8963636363636363,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\MLP\20260919_161329,,
All_coef,right,ResNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,right,ResNetAE,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [32, 1, 5], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,right,MobileNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef,right,SqueezeNet,,,,,,,,,,FAIL,"RuntimeError('Given groups=1, weight of size [16, 1, 3], expected input[1, 32, 507] to have 1 channels, but got 32 channels instead')"
All_coef_Ds004469,left,SVM,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.0,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SVM\20260919_161332,,
