Cohort,Side,Model,CV_BalancedAccuracy,CV_F1_Macro,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,RunDir
All_coef,left,SVM,0.8304545676958457,0.8411755748439165,0.8666666666666667,0.8553240740740741,0.8148148148148148,0.8958333333333334,0.8553240740740741,0.8950617283950617,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\SVM\20260919_162021
All_coef,left,MLP,0.8386749522924108,0.8442120985810306,0.8133333333333334,0.8055555555555556,0.7777777777777778,0.8333333333333334,0.800531914893617,0.8618827160493828,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\MLP\20260919_162021
All_coef,left,ResNet,0.5784606351225718,0.5796789249628148,0.5866666666666667,0.5150462962962963,0.25925925925925924,0.7708333333333334,0.5079365079365079,0.5609567901234568,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\ResNet\20260919_162026
All_coef,left,ResNetAE,0.5952928512012526,0.5965918139831183,0.5466666666666666,0.4756944444444444,0.2222222222222222,0.7291666666666666,0.46697324414715724,0.5146604938271605,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\ResNetAE\20260919_162032
All_coef,left,MobileNet,0.6323090473161422,0.6366973460337875,0.7066666666666667,0.625,0.3333333333333333,0.9166666666666666,0.625,0.6736111111111112,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\MobileNet\20260919_162038
All_coef,left,SqueezeNet,0.5102754807457063,0.4310440197705333,0.6266666666666667,0.505787037037037,0.07407407407407407,0.9375,0.44385593220338987,0.4089506172839506,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\SqueezeNet\20260919_162045
All_coef,right,SVM,0.8255543237250554,0.8502591841334235,0.8266666666666667,0.7545454545454545,0.6,0.9090909090909091,0.7668022004305189,0.8945454545454545,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\SVM\20260919_162051
All_coef,right,MLP,0.8614190687361419,0.8741576262662547,0.8533333333333334,0.8045454545454545,0.7,0.9090909090909091,0.8094248094248094,0.8963636363636363,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\MLP\20260919_162051
All_coef,right,ResNet,0.6009977827050997,0.6082151956110599,0.7733333333333333,0.6227272727272727,0.3,0.9454545454545454,0.6366486178398404,0.7136363636363636,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\ResNet\20260919_162054
All_coef,right,ResNetAE,0.666629711751663,0.6715888278388278,0.72,0.5863636363636363,0.3,0.8727272727272727,0.5920745920745921,0.7227272727272727,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\ResNetAE\20260919_162100
All_coef,right,MobileNet,0.6564855875831486,0.673450284847409,0.7866666666666666,0.6318181818181818,0.3,0.9636363636363636,0.6487119437939108,0.8163636363636364,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\MobileNet\20260919_162106
All_coef,right,SqueezeNet,0.49318181818181817,0.41811175337186895,0.72,0.4909090909090909,0.0,0.9818181818181818,0.4186046511627907,0.4109090909090909,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\SqueezeNet\20260919_162114
All_coef_Ds004469,left,SVM,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.0,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SVM\20260919_162121
All_coef_Ds004469,left,MLP,0.4507154213036566,0.43209876543209874,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.04999999999999999,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MLP\20260919_162121
All_coef_Ds004469,left,ResNet,0.5747217806041336,0.5566502463054188,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.5,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\ResNet\20260919_162122
All_coef_Ds004469,left,ResNetAE,0.5747217806041336,0.5566502463054188,0.75,0.45,0.0,0.9,0.4285714285714286,0.5,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\ResNetAE\20260919_162123
All_coef_Ds004469,left,MobileNet,0.5182829888712241,0.4862579281183932,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.0,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MobileNet\20260919_162125
All_coef_Ds004469,left,SqueezeNet,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.09999999999999998,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SqueezeNet\20260919_162127
All_coef_Ds004469,right,SVM,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.18181818181818177,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SVM\20260919_162128
All_coef_Ds004469,right,MLP,0.47619047619047616,0.4301075268817204,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.7272727272727273,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MLP\20260919_162128
All_coef_Ds004469,right,ResNet,0.5335497835497836,0.5177832919768404,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.09090909090909094,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\ResNet\20260919_162129
All_coef_Ds004469,right,ResNetAE,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.09090909090909094,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\ResNetAE\20260919_162131
All_coef_Ds004469,right,MobileNet,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.2727272727272727,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MobileNet\20260919_162134
All_coef_Ds004469,right,SqueezeNet,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.18181818181818177,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SqueezeNet\20260919_162137
All_coef_Ds005602,left,SVM,0.8587301587301588,0.8653223432440389,0.8888888888888888,0.8873684210526316,0.88,0.8947368421052632,0.8847058823529412,0.9263157894736843,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\SVM\20260919_162138
All_coef_Ds005602,left,MLP,0.8841991341991342,0.8886353263350069,0.8571428571428571,0.8542105263157895,0.84,0.868421052631579,0.851764705882353,0.9168421052631578,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\MLP\20260919_162139
All_coef_Ds005602,left,ResNet,0.6262626262626263,0.6286149162861492,0.5396825396825397,0.4815789473684211,0.2,0.7631578947368421,0.46153846153846156,0.5684210526315789,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\ResNet\20260919_162141
All_coef_Ds005602,left,ResNetAE,0.5906204906204906,0.5857556935817805,0.5555555555555556,0.48105263157894734,0.12,0.8421052631578947,0.4360613810741688,0.5610526315789474,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\ResNetAE\20260919_162145
All_coef_Ds005602,left,MobileNet,0.6794372294372295,0.682099275162859,0.6825396825396826,0.6478947368421053,0.48,0.8157894736842105,0.6507760532150776,0.7231578947368421,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\MobileNet\20260919_162150
