"Protocol","Cohort","Side","Model","TrialsTotal","Complete","Pruned","Failed","Folds","BestOOF_BA"
"coef_plsda","All_coef","left","MLP","10","6","4","0","10","0.865782649116798"
"coef_plsda","All_coef","left","MobileNet","10","5","5","0","10","0.665215051132749"
"coef_plsda","All_coef","left","ResNet","10","5","5","0","10","0.654181142046289"
"coef_plsda","All_coef","left","ResNetAE","10","4","6","0","10","0.659416744140529"
"coef_plsda","All_coef","left","SqueezeNet","10","6","4","0","10","0.552331555512061"
"coef_plsda","All_coef","left","SVM","10","3","7","0","10","0.793071390125752"
"coef_plsda","All_coef","right","MLP","10","5","5","0","10","0.843126385809313"
"coef_plsda","All_coef","right","MobileNet","10","5","5","0","10","0.673226164079823"
"coef_plsda","All_coef","right","ResNet","10","5","5","0","10","0.676219512195122"
"coef_plsda","All_coef","right","ResNetAE","10","5","5","0","10","0.65410199556541"
"coef_plsda","All_coef","right","SqueezeNet","10","10","0","0","10","0.5"
"coef_plsda","All_coef","right","SVM","10","3","7","0","10","0.800443458980044"
"coef_plsda","All_coef_Ds004469","left","MLP","10","4","6","0","10","0.550079491255962"
"coef_plsda","All_coef_Ds004469","left","MobileNet","10","4","6","0","10","0.558823529411765"
"coef_plsda","All_coef_Ds004469","left","ResNet","10","3","7","0","10","0.593004769475358"
"coef_plsda","All_coef_Ds004469","left","ResNetAE","10","4","6","0","10","0.588235294117647"
"coef_plsda","All_coef_Ds004469","left","SqueezeNet","10","10","0","0","10","0.547694753577107"
"coef_plsda","All_coef_Ds004469","left","SVM","10","9","1","0","10","0.537360890302067"
"coef_plsda","All_coef_Ds004469","right","MLP","10","5","5","0","10","0.66991341991342"
"coef_plsda","All_coef_Ds004469","right","MobileNet","10","10","0","0","10","0.567099567099567"
"coef_plsda","All_coef_Ds004469","right","ResNet","10","10","0","0","10","0.545454545454545"
"coef_plsda","All_coef_Ds004469","right","ResNetAE","10","10","0","0","10","0.545454545454545"
"coef_plsda","All_coef_Ds004469","right","SqueezeNet","10","10","0","0","10","0.5"
"coef_plsda","All_coef_Ds004469","right","SVM","10","9","1","0","10","0.5"
"coef_plsda","All_coef_Ds005602","left","MLP","10","7","3","0","10","0.907359307359307"
"coef_plsda","All_coef_Ds005602","left","MobileNet","10","3","7","0","10","0.690620490620491"
"coef_plsda","All_coef_Ds005602","left","ResNet","10","3","7","0","10","0.673953823953824"
"coef_plsda","All_coef_Ds005602","left","ResNetAE","10","4","6","0","10","0.685064935064935"
"coef_plsda","All_coef_Ds005602","left","SqueezeNet","10","5","5","0","10","0.537950937950938"
"coef_plsda","All_coef_Ds005602","left","SVM","10","3","7","0","10","0.850865800865801"
"coef_plsda","All_coef_Ds005602","right","MLP","10","4","6","0","10","0.901448013926254"
"coef_plsda","All_coef_Ds005602","right","MobileNet","10","5","5","0","10","0.753600253204621"
"coef_plsda","All_coef_Ds005602","right","ResNet","10","5","5","0","10","0.69583794904257"
"coef_plsda","All_coef_Ds005602","right","ResNetAE","10","5","5","0","10","0.725431239120114"
"coef_plsda","All_coef_Ds005602","right","SqueezeNet","10","10","0","0","10","0.501542965659123"
"coef_plsda","All_coef_Ds005602","right","SVM","10","3","7","0","10","0.857809780028486"
"coef_raw","All_coef","left","MLP","10","5","5","0","10","0.866908058912756"
"coef_raw","All_coef","left","MobileNet","10","3","7","0","10","0.670817634682194"
"coef_raw","All_coef","left","ResNet","10","5","5","0","10","0.663893917894016"
"coef_raw","All_coef","left","ResNetAE","10","5","5","0","10","0.656994666536184"
"coef_raw","All_coef","left","SqueezeNet","10","10","0","0","10","0.506727993345403"
"coef_raw","All_coef","left","SVM","10","3","7","0","10","0.84241816313549"
"coef_raw","All_coef","right","MLP","10","3","7","0","10","0.856873614190687"
"coef_raw","All_coef","right","MobileNet","10","7","3","0","10","0.688414634146341"
"coef_raw","All_coef","right","ResNet","10","5","5","0","10","0.717572062084257"
"coef_raw","All_coef","right","ResNetAE","10","3","7","0","10","0.648115299334812"
"coef_raw","All_coef","right","SqueezeNet","10","6","4","0","10","0.517073170731707"
"coef_raw","All_coef","right","SVM","10","3","7","0","10","0.83320399113082"
"coef_raw","All_coef_Ds004469","left","MLP","10","6","4","0","10","0.568362480127186"
"coef_raw","All_coef_Ds004469","left","MobileNet","10","4","6","0","10","0.545310015898251"
"coef_raw","All_coef_Ds004469","left","ResNet","10","4","6","0","10","0.574721780604134"
"coef_raw","All_coef_Ds004469","left","ResNetAE","10","5","5","0","10","0.604133545310016"
"coef_raw","All_coef_Ds004469","left","SqueezeNet","10","8","2","0","10","0.52066772655008"
"coef_raw","All_coef_Ds004469","left","SVM","10","9","1","0","10","0.55087440381558"
"coef_raw","All_coef_Ds004469","right","MLP","10","8","2","0","10","0.590909090909091"
"coef_raw","All_coef_Ds004469","right","MobileNet","10","10","0","0","10","0.545454545454545"
"coef_raw","All_coef_Ds004469","right","ResNet","10","3","7","0","10","0.590909090909091"
"coef_raw","All_coef_Ds004469","right","ResNetAE","10","10","0","0","10","0.590909090909091"
"coef_raw","All_coef_Ds004469","right","SqueezeNet","10","10","0","0","10","0.543290043290043"
"coef_raw","All_coef_Ds004469","right","SVM","10","9","1","0","10","0.504329004329004"
"coef_raw","All_coef_Ds005602","left","MLP","10","3","7","0","10","0.904112554112554"
"coef_raw","All_coef_Ds005602","left","MobileNet","10","3","7","0","10","0.721645021645022"
"coef_raw","All_coef_Ds005602","left","ResNet","10","5","5","0","10","0.671645021645022"
"coef_raw","All_coef_Ds005602","left","ResNetAE","10","6","4","0","10","0.69992784992785"
"coef_raw","All_coef_Ds005602","left","SqueezeNet","10","10","0","0","10","0.517099567099567"
"coef_raw","All_coef_Ds005602","left","SVM","10","3","7","0","10","0.883261183261183"
"coef_raw","All_coef_Ds005602","right","MLP","10","6","4","0","10","0.884594081341984"
"coef_raw","All_coef_Ds005602","right","MobileNet","10","5","5","0","10","0.764915334704858"
"coef_raw","All_coef_Ds005602","right","ResNet","10","4","6","0","10","0.691644247507517"
"coef_raw","All_coef_Ds005602","right","ResNetAE","10","6","4","0","10","0.687529672416522"
"coef_raw","All_coef_Ds005602","right","SqueezeNet","10","4","6","0","10","0.50858521918025"
"coef_raw","All_coef_Ds005602","right","SVM","10","3","7","0","10","0.874703275834784"
"plsda_direct","All_coef","left","PLSDA_classifier","10","7","3","0","10","0.853256348779175"
"plsda_direct","All_coef","right","PLSDA_classifier","10","4","6","0","10","0.824833702882483"
"plsda_direct","All_coef_Ds004469","left","PLSDA_classifier","10","10","0","0","10","0.455484896661367"
"plsda_direct","All_coef_Ds004469","right","PLSDA_classifier","10","8","2","0","10","0.66991341991342"
"plsda_direct","All_coef_Ds005602","left","PLSDA_classifier","10","7","3","0","10","0.884199134199134"
"plsda_direct","All_coef_Ds005602","right","PLSDA_classifier","10","7","3","0","10","0.870470011077702"
"pointnet_plsda","All_coef","left","PointNet","10","5","5","0","10","0.789328179282674"
"pointnet_plsda","All_coef","right","PointNet","10","3","7","0","10","0.826385809312639"
"pointnet_plsda","All_coef_Ds004469","left","PointNet","10","5","5","0","10","0.568362480127186"
"pointnet_plsda","All_coef_Ds004469","right","PointNet","10","4","6","0","10","0.906926406926407"
"pointnet_plsda","All_coef_Ds005602","left","PointNet","10","4","6","0","10","0.867532467532468"
"pointnet_plsda","All_coef_Ds005602","right","PointNet","10","4","6","0","10","0.857809780028486"
"pointnet_raw","All_coef","left","PointNet","10","6","4","0","10","0.797548563879239"
"pointnet_raw","All_coef","right","PointNet","10","4","6","0","10","0.824223946784922"
"pointnet_raw","All_coef_Ds004469","left","PointNet","10","7","3","0","10","0.60731319554849"
"pointnet_raw","All_coef_Ds004469","right","PointNet","10","5","5","0","10","0.806277056277056"
"pointnet_raw","All_coef_Ds005602","left","PointNet","10","6","4","0","10","0.861976911976912"
"pointnet_raw","All_coef_Ds005602","right","PointNet","10","3","7","0","10","0.883169805348948"
