Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir
Optuna no-PLS coefficient,coef_raw,All_coef,left,SVM,42,10,0.8424181631354896,0.8,0.787037037037037,0.7407407407407407,0.8333333333333334,0.784688995215311,0.8742283950617283,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\SVM\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,left,SVM,123,10,0.8424181631354896,0.7866666666666666,0.7766203703703703,0.7407407407407407,0.8125,0.7720364741641338,0.8618827160493827,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\SVM\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,left,SVM,2026,10,0.8424181631354896,0.8,0.7951388888888888,0.7777777777777778,0.8125,0.7877758913412563,0.8626543209876544,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\SVM\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,left,MLP,42,10,0.8669080589127562,0.8,0.7951388888888888,0.7777777777777778,0.8125,0.7877758913412563,0.8271604938271605,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\MLP\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,left,MLP,123,10,0.8669080589127562,0.7866666666666666,0.7766203703703703,0.7407407407407407,0.8125,0.7720364741641338,0.8441358024691359,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\MLP\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,left,MLP,2026,10,0.8669080589127562,0.7866666666666666,0.8009259259259259,0.8518518518518519,0.75,0.7800586510263929,0.849537037037037,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\MLP\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,left,ResNet,42,10,0.6638939178940158,0.6933333333333334,0.630787037037037,0.4074074074074074,0.8541666666666666,0.634920634920635,0.7584876543209876,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\ResNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,left,ResNet,123,10,0.6638939178940158,0.6533333333333333,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.5819039451114922,0.7083333333333334,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\ResNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,left,ResNet,2026,10,0.6638939178940158,0.7466666666666667,0.6643518518518519,0.37037037037037035,0.9583333333333334,0.6708246708246708,0.7314814814814815,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\ResNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,left,ResNetAE,42,10,0.6569946665361843,0.6266666666666667,0.5543981481481481,0.2962962962962963,0.8125,0.5497427101200686,0.6219135802469136,"{""batch_size"": 16, ""dropout"": 0.3080272084711243, ""lr"": 0.00011240768803005555, ""recon_weight"": 0.05143828405076928, ""weight_decay"": 0.004337920697490943}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\ResNetAE\seed_42
