Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna no-PLS coefficient,coef_raw,All_coef,left,SVM,10,1,0.8424181631354896,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\SVM
Optuna no-PLS coefficient,coef_raw,All_coef,left,MLP,10,8,0.8669080589127562,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\MLP
Optuna no-PLS coefficient,coef_raw,All_coef,left,ResNet,10,6,0.6638939178940158,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\ResNet
Optuna no-PLS coefficient,coef_raw,All_coef,left,ResNetAE,10,6,0.6569946665361843,"{""batch_size"": 16, ""dropout"": 0.3080272084711243, ""lr"": 0.00011240768803005555, ""recon_weight"": 0.05143828405076928, ""weight_decay"": 0.004337920697490943}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef,left,MobileNet,10,2,0.670817634682194,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\MobileNet
Optuna no-PLS coefficient,coef_raw,All_coef,left,SqueezeNet,10,8,0.506727993345403,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\SqueezeNet
Optuna no-PLS coefficient,coef_raw,All_coef,right,SVM,10,2,0.8332039911308204,"{""C"": 75.7947995334801, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\SVM
Optuna no-PLS coefficient,coef_raw,All_coef,right,MLP,10,2,0.8568736141906874,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\MLP
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNet,10,3,0.7175720620842572,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\ResNet
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNetAE,10,0,0.6481152993348116,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""recon_weight"": 0.011900590783184251, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef,right,MobileNet,10,3,0.6884146341463414,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\MobileNet
Optuna no-PLS coefficient,coef_raw,All_coef,right,SqueezeNet,10,8,0.5170731707317073,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\SqueezeNet
