Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,left,MLP,10,6,0.8657826491167979,"{""batch_size"": 8, ""dropout"": 0.29807076404450805, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef,right,MLP,10,2,0.8431263858093127,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef\right\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,left,ResNet,10,0,0.5930047694753577,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\left\ResNet
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds004469,right,MLP,10,0,0.6699134199134199,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds004469\right\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,left,MLP,10,9,0.9073593073593074,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\left\MLP
Optuna fold-local PLS-DA coefficient,coef_plsda,All_coef_Ds005602,right,MLP,10,8,0.9014480139262542,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_plsda\All_coef_Ds005602\right\MLP
Optuna no-PLS coefficient,coef_raw,All_coef,left,MLP,10,8,0.8669080589127562,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\left\MLP
Optuna no-PLS coefficient,coef_raw,All_coef,right,MLP,10,2,0.8568736141906874,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef\right\MLP
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNetAE,10,5,0.604133545310016,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\left\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,MLP,10,9,0.5909090909090909,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\MLP
