number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8444732592846308,2026-09-19 20:48:35.002145,2026-09-19 20:48:49.718623,0 days 00:00:14.716478,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8106375691148406,2026-09-19 20:48:49.718623,2026-09-19 20:49:03.030586,0 days 00:00:13.311963,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8392376571903899,2026-09-19 20:49:03.031586,2026-09-19 20:49:06.900467,0 days 00:00:03.868881,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6323335127464892,2026-09-19 20:49:06.900467,2026-09-19 20:49:11.999026,0 days 00:00:05.098559,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.8512012526300338,2026-09-19 20:49:11.999026,2026-09-19 20:49:17.715528,0 days 00:00:05.716502,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.8584919508734159,2026-09-19 20:49:17.715528,2026-09-19 20:49:22.615301,0 days 00:00:04.899773,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.8657826491167979,2026-09-19 20:49:22.615301,2026-09-19 20:49:38.126991,0 days 00:00:15.511690,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.6244801096051279,2026-09-19 20:49:38.126991,2026-09-19 20:49:43.303857,0 days 00:00:05.176866,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6390615060918922,2026-09-19 20:49:43.303857,2026-09-19 20:49:48.402252,0 days 00:00:05.098395,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.63177080784851,2026-09-19 20:49:48.402252,2026-09-19 20:49:50.863963,0 days 00:00:02.461711,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
