number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6173606693741743,2026-09-19 20:56:35.624280,2026-09-19 20:57:16.435557,0 days 00:00:40.811277,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5097127758477271,2026-09-19 20:57:16.435557,2026-09-19 20:57:40.722178,0 days 00:00:24.286621,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6652150511327494,2026-09-19 20:57:40.722178,2026-09-19 20:57:52.177492,0 days 00:00:11.455314,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6511963595439644,2026-09-19 20:57:52.177492,2026-09-19 20:58:34.091044,0 days 00:00:41.913552,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5175661789890884,2026-09-19 20:58:34.091044,2026-09-19 20:58:38.372221,0 days 00:00:04.281177,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5456035621666585,2026-09-19 20:58:38.372221,2026-09-19 20:58:43.211071,0 days 00:00:04.838850,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5201839800362088,2026-09-19 20:58:43.211071,2026-09-19 20:58:56.030827,0 days 00:00:12.819756,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5233644859813084,2026-09-19 20:58:56.030827,2026-09-19 20:59:08.445399,0 days 00:00:12.414572,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5725155355482703,2026-09-19 20:59:08.445399,2026-09-19 20:59:26.067431,0 days 00:00:17.622032,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6579243528893673,2026-09-19 20:59:26.067431,2026-09-19 20:59:45.178801,0 days 00:00:19.111370,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
