number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6412878602534618,2026-09-19 20:50:08.387462,2026-09-19 20:50:44.955910,0 days 00:00:36.568448,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.591207124333317,2026-09-19 20:50:44.955910,2026-09-19 20:51:13.539480,0 days 00:00:28.583570,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5377256935949504,2026-09-19 20:51:13.540480,2026-09-19 20:51:20.875749,0 days 00:00:07.335269,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6145471448842785,2026-09-19 20:51:20.875749,2026-09-19 20:51:55.345779,0 days 00:00:34.470030,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5450408572686793,2026-09-19 20:51:55.345779,2026-09-19 20:51:59.718046,0 days 00:00:04.372267,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5678426383520085,2026-09-19 20:51:59.718046,2026-09-19 20:52:06.078164,0 days 00:00:06.360118,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.549713754464941,2026-09-19 20:52:06.078164,2026-09-19 20:52:22.675577,0 days 00:00:16.597413,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5637324460537261,2026-09-19 20:52:22.675577,2026-09-19 20:52:35.295457,0 days 00:00:12.619880,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5637324460537261,2026-09-19 20:52:35.295457,2026-09-19 20:52:51.971001,0 days 00:00:16.675544,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6541811420462886,2026-09-19 20:52:51.971001,2026-09-19 20:53:10.803781,0 days 00:00:18.832780,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
