number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6326760287713461,2026-09-19 20:53:32.449400,2026-09-19 20:54:09.186103,0 days 00:00:36.736703,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5739834613690855,2026-09-19 20:54:09.186103,2026-09-19 20:54:18.476719,0 days 00:00:09.290616,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6395997455595244,2026-09-19 20:54:18.476719,2026-09-19 20:54:53.943858,0 days 00:00:35.467139,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.6155012966678084,2026-09-19 20:54:53.943858,2026-09-19 20:55:08.241571,0 days 00:00:14.297713,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,PRUNED
4,0.5242941723344914,2026-09-19 20:55:08.241571,2026-09-19 20:55:24.104596,0 days 00:00:15.863025,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.5521358320692861,2026-09-19 20:55:24.104596,2026-09-19 20:55:32.876503,0 days 00:00:08.771907,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.5663502471008465,2026-09-19 20:55:32.876503,2026-09-19 20:55:48.105564,0 days 00:00:15.229061,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.5596222537554435,2026-09-19 20:55:48.105564,2026-09-19 20:55:59.826872,0 days 00:00:11.721308,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.5342026716249939,2026-09-19 20:55:59.826872,2026-09-19 20:56:06.530165,0 days 00:00:06.703293,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.6594167441405294,2026-09-19 20:56:06.530165,2026-09-19 20:56:22.918008,0 days 00:00:16.387843,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,COMPLETE
