number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7930713901257522,2026-09-19 20:48:28.082707,2026-09-19 20:48:29.085877,0 days 00:00:01.003170,2.481040974867813,,auto,COMPLETE
1,0.7659636933013652,2026-09-19 20:48:29.085877,2026-09-19 20:48:30.088555,0 days 00:00:01.002678,29.154431891537552,,scale,COMPLETE
2,0.7846552820864119,2026-09-19 20:48:30.088555,2026-09-19 20:48:31.115580,0 days 00:00:01.027025,75.7947995334801,,auto,COMPLETE
3,0.5368204726721143,2026-09-19 20:48:31.115580,2026-09-19 20:48:31.537459,0 days 00:00:00.421879,0.05415244119402541,,scale,PRUNED
4,0.5637324460537261,2026-09-19 20:48:31.537459,2026-09-19 20:48:31.937370,0 days 00:00:00.399911,0.14618962793704965,,auto,PRUNED
5,0.5943876302784166,2026-09-19 20:48:31.937370,2026-09-19 20:48:32.318108,0 days 00:00:00.380738,0.2920433847181412,,scale,PRUNED
6,0.6846650682585507,2026-09-19 20:48:32.318108,2026-09-19 20:48:32.918356,0 days 00:00:00.600248,1.1400863701127328,,auto,PRUNED
7,0.5016636492635905,2026-09-19 20:48:32.918356,2026-09-19 20:48:33.353171,0 days 00:00:00.434815,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5684053432499877,2026-09-19 20:48:33.354172,2026-09-19 20:48:33.742236,0 days 00:00:00.388064,0.1653693718282443,,auto,PRUNED
9,0.5252238586876743,2026-09-19 20:48:33.742236,2026-09-19 20:48:34.154117,0 days 00:00:00.411881,0.030771802712506867,,auto,PRUNED
