number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5132602632480305,2026-09-19 20:59:54.873101,2026-09-19 21:00:24.265203,0 days 00:00:29.392102,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-19 21:00:24.265203,2026-09-19 21:00:35.312564,0 days 00:00:11.047361,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5114008905416646,2026-09-19 21:00:35.312564,2026-09-19 21:00:43.829616,0 days 00:00:08.517052,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5523315555120615,2026-09-19 21:00:43.829616,2026-09-19 21:01:23.147555,0 days 00:00:39.317939,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5046728971962616,2026-09-19 21:01:23.147555,2026-09-19 21:01:27.029551,0 days 00:00:03.881996,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5,2026-09-19 21:01:27.029551,2026-09-19 21:01:30.669453,0 days 00:00:03.639902,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5046728971962616,2026-09-19 21:01:30.669453,2026-09-19 21:01:39.740063,0 days 00:00:09.070610,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.4988745902040417,2026-09-19 21:01:39.740063,2026-09-19 21:01:44.451788,0 days 00:00:04.711725,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.542423056221559,2026-09-19 21:01:44.451788,2026-09-19 21:02:27.983738,0 days 00:00:43.531950,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5280373831775701,2026-09-19 21:02:27.983738,2026-09-19 21:02:48.663640,0 days 00:00:20.679902,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
