number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8286585365853658,2026-09-19 21:03:31.045666,2026-09-19 21:03:45.799207,0 days 00:00:14.753541,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8324833702882484,2026-09-19 21:03:45.799207,2026-09-19 21:04:01.103511,0 days 00:00:15.304304,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8431263858093127,2026-09-19 21:04:01.103511,2026-09-19 21:04:05.047910,0 days 00:00:03.944399,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8431263858093127,2026-09-19 21:04:05.047910,2026-09-19 21:04:19.355213,0 days 00:00:14.307303,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6243348115299334,2026-09-19 21:04:19.355213,2026-09-19 21:04:21.078500,0 days 00:00:01.723287,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.8431263858093127,2026-09-19 21:04:21.078500,2026-09-19 21:04:25.970845,0 days 00:00:04.892345,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.6311529933481153,2026-09-19 21:04:25.970845,2026-09-19 21:04:32.041314,0 days 00:00:06.070469,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6410753880266076,2026-09-19 21:04:32.041314,2026-09-19 21:04:37.992138,0 days 00:00:05.950824,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6410753880266076,2026-09-19 21:04:37.992138,2026-09-19 21:04:42.863146,0 days 00:00:04.871008,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6273281596452328,2026-09-19 21:04:42.863146,2026-09-19 21:04:45.624737,0 days 00:00:02.761591,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
