number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.596230598669623,2026-09-19 21:13:46.763499,2026-09-19 21:14:33.636815,0 days 00:00:46.873316,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5290465631929047,2026-09-19 21:14:33.636815,2026-09-19 21:15:10.253745,0 days 00:00:36.616930,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6549334811529933,2026-09-19 21:15:10.253745,2026-09-19 21:15:22.029106,0 days 00:00:11.775361,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6601995565410199,2026-09-19 21:15:22.029106,2026-09-19 21:16:10.470240,0 days 00:00:48.441134,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6105875831485588,2026-09-19 21:16:10.470240,2026-09-19 21:16:22.854994,0 days 00:00:12.384754,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5457871396895787,2026-09-19 21:16:22.854994,2026-09-19 21:16:28.894670,0 days 00:00:06.039676,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5419623059866963,2026-09-19 21:16:28.894670,2026-09-19 21:16:50.933640,0 days 00:00:22.038970,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5221175166297117,2026-09-19 21:16:50.933640,2026-09-19 21:17:02.666944,0 days 00:00:11.733304,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6732261640798226,2026-09-19 21:17:02.666944,2026-09-19 21:17:47.171455,0 days 00:00:44.504511,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5626385809312638,2026-09-19 21:17:47.171455,2026-09-19 21:17:58.694458,0 days 00:00:11.523003,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
