number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6427383592017738,2026-09-19 21:04:51.391492,2026-09-19 21:05:30.272737,0 days 00:00:38.881245,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6091463414634146,2026-09-19 21:05:30.272737,2026-09-19 21:06:04.325848,0 days 00:00:34.053111,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6305432372505543,2026-09-19 21:06:04.325848,2026-09-19 21:06:18.868828,0 days 00:00:14.542980,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.676219512195122,2026-09-19 21:06:18.868828,2026-09-19 21:07:07.064020,0 days 00:00:48.195192,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5656319290465632,2026-09-19 21:07:07.064020,2026-09-19 21:07:15.500078,0 days 00:00:08.436058,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5351441241685144,2026-09-19 21:07:15.500078,2026-09-19 21:07:19.922248,0 days 00:00:04.422170,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5435144124168515,2026-09-19 21:07:19.922248,2026-09-19 21:07:36.309527,0 days 00:00:16.387279,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5396895787139689,2026-09-19 21:07:36.309527,2026-09-19 21:07:48.026230,0 days 00:00:11.716703,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.548059866962306,2026-09-19 21:07:48.026230,2026-09-19 21:08:02.534433,0 days 00:00:14.508203,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6625831485587583,2026-09-19 21:08:02.534433,2026-09-19 21:08:25.580713,0 days 00:00:23.046280,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
