number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.652549889135255,2026-09-19 21:09:13.709387,2026-09-19 21:10:00.969368,0 days 00:00:47.259981,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5863082039911308,2026-09-19 21:10:00.969368,2026-09-19 21:10:14.084094,0 days 00:00:13.114726,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6114190687361419,2026-09-19 21:10:14.084094,2026-09-19 21:10:51.111415,0 days 00:00:37.027321,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.6541019955654102,2026-09-19 21:10:51.111415,2026-09-19 21:11:14.229834,0 days 00:00:23.118419,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.6251662971175166,2026-09-19 21:11:14.229834,2026-09-19 21:11:58.395030,0 days 00:00:44.165196,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.5359756097560975,2026-09-19 21:11:58.395030,2026-09-19 21:12:05.474608,0 days 00:00:07.079578,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.5755543237250554,2026-09-19 21:12:05.474608,2026-09-19 21:12:30.353844,0 days 00:00:24.879236,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.612860310421286,2026-09-19 21:12:30.353844,2026-09-19 21:12:58.816306,0 days 00:00:28.462462,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.58009977827051,2026-09-19 21:12:58.816306,2026-09-19 21:13:13.983373,0 days 00:00:15.167067,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.635809312638581,2026-09-19 21:13:13.983373,2026-09-19 21:13:31.949990,0 days 00:00:17.966617,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,COMPLETE
