number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7798780487804877,2026-09-19 21:03:22.865394,2026-09-19 21:03:24.111994,0 days 00:00:01.246600,2.481040974867813,,auto,COMPLETE
1,0.8004434589800444,2026-09-19 21:03:24.111994,2026-09-19 21:03:25.362425,0 days 00:00:01.250431,29.154431891537552,,scale,COMPLETE
2,0.7669623059866962,2026-09-19 21:03:25.362425,2026-09-19 21:03:26.622802,0 days 00:00:01.260377,75.7947995334801,,auto,COMPLETE
3,0.5465077605321508,2026-09-19 21:03:26.622802,2026-09-19 21:03:27.157825,0 days 00:00:00.535023,0.05415244119402541,,scale,PRUNED
4,0.5701773835920178,2026-09-19 21:03:27.157825,2026-09-19 21:03:27.619449,0 days 00:00:00.461624,0.14618962793704965,,auto,PRUNED
5,0.604490022172949,2026-09-19 21:03:27.619449,2026-09-19 21:03:28.044254,0 days 00:00:00.424805,0.2920433847181412,,scale,PRUNED
6,0.6205099778270511,2026-09-19 21:03:28.044254,2026-09-19 21:03:28.523723,0 days 00:00:00.479469,1.1400863701127328,,auto,PRUNED
7,0.4975609756097561,2026-09-19 21:03:28.523723,2026-09-19 21:03:29.080791,0 days 00:00:00.557068,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.564079822616408,2026-09-19 21:03:29.080791,2026-09-19 21:03:29.532412,0 days 00:00:00.451621,0.1653693718282443,,auto,PRUNED
9,0.516019955654102,2026-09-19 21:03:29.532412,2026-09-19 21:03:30.097465,0 days 00:00:00.565053,0.030771802712506867,,auto,PRUNED
