number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5588235294117647,2026-09-19 21:25:41.377856,2026-09-19 21:25:52.130986,0 days 00:00:10.753130,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-19 21:25:52.130986,2026-09-19 21:25:56.220109,0 days 00:00:04.089123,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5294117647058824,2026-09-19 21:25:56.220109,2026-09-19 21:25:59.229723,0 days 00:00:03.009614,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5,2026-09-19 21:25:59.229723,2026-09-19 21:26:07.112544,0 days 00:00:07.882821,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5047694753577107,2026-09-19 21:26:07.113546,2026-09-19 21:26:09.598249,0 days 00:00:02.484703,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5588235294117647,2026-09-19 21:26:09.598249,2026-09-19 21:26:12.635382,0 days 00:00:03.037133,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-19 21:26:12.637005,2026-09-19 21:26:20.967468,0 days 00:00:08.330463,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.4753577106518283,2026-09-19 21:26:20.967468,2026-09-19 21:26:22.029316,0 days 00:00:01.061848,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5,2026-09-19 21:26:22.029316,2026-09-19 21:26:28.057655,0 days 00:00:06.028339,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5294117647058824,2026-09-19 21:26:28.057655,2026-09-19 21:26:32.192719,0 days 00:00:04.135064,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
