number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.5747217806041336,2026-09-19 21:24:42.319786,2026-09-19 21:24:49.813564,0 days 00:00:07.493778,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5588235294117647,2026-09-19 21:24:49.813564,2026-09-19 21:24:53.149797,0 days 00:00:03.336233,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.5294117647058824,2026-09-19 21:24:53.149797,2026-09-19 21:24:58.392720,0 days 00:00:05.242923,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.5,2026-09-19 21:24:58.392720,2026-09-19 21:25:02.202454,0 days 00:00:03.809734,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,PRUNED
4,0.5882352941176471,2026-09-19 21:25:02.202454,2026-09-19 21:25:09.996228,0 days 00:00:07.793774,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,COMPLETE
5,0.5158982511923689,2026-09-19 21:25:09.996228,2026-09-19 21:25:13.523156,0 days 00:00:03.526928,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.5158982511923689,2026-09-19 21:25:13.523156,2026-09-19 21:25:18.979637,0 days 00:00:05.456481,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.5,2026-09-19 21:25:18.979637,2026-09-19 21:25:23.676751,0 days 00:00:04.697114,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.5294117647058824,2026-09-19 21:25:23.676751,2026-09-19 21:25:27.741695,0 days 00:00:04.064944,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.5453100158982512,2026-09-19 21:25:27.741695,2026-09-19 21:25:31.237869,0 days 00:00:03.496174,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
