number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.47297297297297297,2026-09-19 21:23:38.632067,2026-09-19 21:23:38.803561,0 days 00:00:00.171494,2.481040974867813,,auto,COMPLETE
1,0.4594594594594595,2026-09-19 21:23:38.803561,2026-09-19 21:23:38.975551,0 days 00:00:00.171990,29.154431891537552,,scale,COMPLETE
2,0.47297297297297297,2026-09-19 21:23:38.975551,2026-09-19 21:23:39.148289,0 days 00:00:00.172738,75.7947995334801,,auto,COMPLETE
3,0.46343402225755165,2026-09-19 21:23:39.148289,2026-09-19 21:23:39.317256,0 days 00:00:00.168967,0.05415244119402541,,scale,COMPLETE
4,0.5,2026-09-19 21:23:39.317256,2026-09-19 21:23:39.489372,0 days 00:00:00.172116,0.14618962793704965,,auto,COMPLETE
5,0.5,2026-09-19 21:23:39.489372,2026-09-19 21:23:39.662122,0 days 00:00:00.172750,0.2920433847181412,,scale,COMPLETE
6,0.4864864864864865,2026-09-19 21:23:39.662122,2026-09-19 21:23:39.833203,0 days 00:00:00.171081,1.1400863701127328,,auto,COMPLETE
7,0.519872813990461,2026-09-19 21:23:39.833203,2026-09-19 21:23:40.007145,0 days 00:00:00.173942,0.04809461967501574,1.8205657658407255e-05,numeric,COMPLETE
8,0.47297297297297297,2026-09-19 21:23:40.007145,2026-09-19 21:23:40.074990,0 days 00:00:00.067845,0.1653693718282443,,auto,PRUNED
9,0.5373608903020668,2026-09-19 21:23:40.074990,2026-09-19 21:23:40.247388,0 days 00:00:00.172398,0.030771802712506867,,auto,COMPLETE
