number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5,2026-09-19 21:27:51.014738,2026-09-19 21:27:59.233963,0 days 00:00:08.219225,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-19 21:27:59.233963,2026-09-19 21:28:04.671581,0 days 00:00:05.437618,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5454545454545454,2026-09-19 21:28:04.671581,2026-09-19 21:28:07.670323,0 days 00:00:02.998742,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.4880952380952381,2026-09-19 21:28:07.670323,2026-09-19 21:28:14.954964,0 days 00:00:07.284641,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-19 21:28:14.954964,2026-09-19 21:28:18.195650,0 days 00:00:03.240686,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5,2026-09-19 21:28:18.196647,2026-09-19 21:28:21.350308,0 days 00:00:03.153661,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-19 21:28:21.350308,2026-09-19 21:28:28.636478,0 days 00:00:07.286170,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5,2026-09-19 21:28:28.636478,2026-09-19 21:28:34.701318,0 days 00:00:06.064840,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5454545454545454,2026-09-19 21:28:34.701318,2026-09-19 21:28:42.745402,0 days 00:00:08.044084,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5,2026-09-19 21:28:42.745402,2026-09-19 21:28:47.477610,0 days 00:00:04.732208,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
