number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.48593073593073594,2026-09-19 21:30:50.101627,2026-09-19 21:30:58.192907,0 days 00:00:08.091280,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.4956709956709957,2026-09-19 21:30:58.192907,2026-09-19 21:31:02.432738,0 days 00:00:04.239831,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.48376623376623373,2026-09-19 21:31:02.432738,2026-09-19 21:31:05.218790,0 days 00:00:02.786052,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5,2026-09-19 21:31:05.218790,2026-09-19 21:31:13.862199,0 days 00:00:08.643409,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-19 21:31:13.862199,2026-09-19 21:31:16.899482,0 days 00:00:03.037283,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5,2026-09-19 21:31:16.899482,2026-09-19 21:31:19.082220,0 days 00:00:02.182738,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-19 21:31:19.082220,2026-09-19 21:31:26.160887,0 days 00:00:07.078667,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.48376623376623373,2026-09-19 21:31:26.160887,2026-09-19 21:31:29.117496,0 days 00:00:02.956609,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5,2026-09-19 21:31:29.117496,2026-09-19 21:31:38.378314,0 days 00:00:09.260818,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5,2026-09-19 21:31:38.378314,2026-09-19 21:31:43.577617,0 days 00:00:05.199303,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
