number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8642857142857143,2026-09-19 21:31:55.656245,2026-09-19 21:32:09.699737,0 days 00:00:14.043492,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8795815295815296,2026-09-19 21:32:09.699737,2026-09-19 21:32:20.821045,0 days 00:00:11.121308,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.9050505050505051,2026-09-19 21:32:20.821045,2026-09-19 21:32:23.967649,0 days 00:00:03.146604,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6828282828282828,2026-09-19 21:32:23.967649,2026-09-19 21:32:29.671391,0 days 00:00:05.703742,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.9018037518037518,2026-09-19 21:32:29.671391,2026-09-19 21:32:34.892501,0 days 00:00:05.221110,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.637012987012987,2026-09-19 21:32:34.892501,2026-09-19 21:32:36.542319,0 days 00:00:01.649818,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.8971861471861472,2026-09-19 21:32:36.542319,2026-09-19 21:32:54.352748,0 days 00:00:17.810429,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.7207792207792207,2026-09-19 21:32:54.352748,2026-09-19 21:33:01.185104,0 days 00:00:06.832356,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8985569985569986,2026-09-19 21:33:01.185104,2026-09-19 21:33:13.025596,0 days 00:00:11.840492,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.9073593073593074,2026-09-19 21:33:13.025596,2026-09-19 21:33:19.097881,0 days 00:00:06.072285,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
