number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.673953823953824,2026-09-19 21:33:26.954788,2026-09-19 21:33:58.257427,0 days 00:00:31.302639,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6665945165945166,2026-09-19 21:33:58.257427,2026-09-19 21:34:23.799522,0 days 00:00:25.542095,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5651515151515152,2026-09-19 21:34:23.799522,2026-09-19 21:34:30.603310,0 days 00:00:06.803788,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6628427128427128,2026-09-19 21:34:30.603310,2026-09-19 21:35:06.612031,0 days 00:00:36.008721,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5406926406926407,2026-09-19 21:35:06.612031,2026-09-19 21:35:10.412483,0 days 00:00:03.800452,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5504329004329005,2026-09-19 21:35:10.412483,2026-09-19 21:35:14.737985,0 days 00:00:04.325502,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5841991341991342,2026-09-19 21:35:14.737985,2026-09-19 21:35:36.098375,0 days 00:00:21.360390,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5471861471861472,2026-09-19 21:35:36.098375,2026-09-19 21:35:45.155082,0 days 00:00:09.056707,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5518037518037517,2026-09-19 21:35:45.155082,2026-09-19 21:35:57.316861,0 days 00:00:12.161779,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5703463203463204,2026-09-19 21:35:57.316861,2026-09-19 21:36:03.857210,0 days 00:00:06.540349,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
