number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8817455293559108,2026-09-19 21:45:22.229240,2026-09-19 21:45:37.825927,0 days 00:00:15.596687,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8493828137363506,2026-09-19 21:45:37.825927,2026-09-19 21:45:49.486280,0 days 00:00:11.660353,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8733185630637759,2026-09-19 21:45:49.486280,2026-09-19 21:45:52.962391,0 days 00:00:03.476111,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7380519069473017,2026-09-19 21:45:52.962391,2026-09-19 21:46:02.585622,0 days 00:00:09.623231,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.6563538534578256,2026-09-19 21:46:02.585622,2026-09-19 21:46:05.086531,0 days 00:00:02.500909,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6662050957429972,2026-09-19 21:46:05.086531,2026-09-19 21:46:07.329035,0 days 00:00:02.242504,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6591628422218705,2026-09-19 21:46:07.329035,2026-09-19 21:46:15.542090,0 days 00:00:08.213055,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6591628422218705,2026-09-19 21:46:15.542090,2026-09-19 21:46:20.899039,0 days 00:00:05.356949,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.9014480139262542,2026-09-19 21:46:20.899039,2026-09-19 21:46:38.354585,0 days 00:00:17.455546,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.8747428390568128,2026-09-19 21:46:38.354585,2026-09-19 21:46:47.956129,0 days 00:00:09.601544,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
