number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7057287545497705,2026-09-19 21:55:37.101840,2026-09-19 21:56:17.779229,0 days 00:00:40.677389,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5479110618768792,2026-09-19 21:56:17.779229,2026-09-19 21:56:43.268336,0 days 00:00:25.489107,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.7043440417787625,2026-09-19 21:56:43.268336,2026-09-19 21:56:52.940930,0 days 00:00:09.672594,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7380914701693306,2026-09-19 21:56:52.941924,2026-09-19 21:57:38.388552,0 days 00:00:45.446628,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5831618927045419,2026-09-19 21:57:38.388552,2026-09-19 21:57:44.423515,0 days 00:00:06.034963,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5563775913910429,2026-09-19 21:57:44.423515,2026-09-19 21:57:49.144449,0 days 00:00:04.720934,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5958221237537585,2026-09-19 21:57:49.144449,2026-09-19 21:58:10.015913,0 days 00:00:20.871464,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5,2026-09-19 21:58:10.015913,2026-09-19 21:58:20.429626,0 days 00:00:10.413713,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5845466054755499,2026-09-19 21:58:20.429626,2026-09-19 21:58:41.054014,0 days 00:00:20.624388,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.753600253204621,2026-09-19 21:58:41.054014,2026-09-19 21:59:10.209358,0 days 00:00:29.155344,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
