number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8423405602152239,2026-09-19 21:45:16.819889,2026-09-19 21:45:17.628792,0 days 00:00:00.808903,2.481040974867813,,auto,COMPLETE
1,0.8507675265073588,2026-09-19 21:45:17.628792,2026-09-19 21:45:18.447988,0 days 00:00:00.819196,29.154431891537552,,scale,COMPLETE
2,0.8578097800284855,2026-09-19 21:45:18.447988,2026-09-19 21:45:19.258632,0 days 00:00:00.810644,75.7947995334801,,auto,COMPLETE
3,0.5140845070422535,2026-09-19 21:45:19.258632,2026-09-19 21:45:19.611959,0 days 00:00:00.353327,0.05415244119402541,,scale,PRUNED
4,0.5718468112043045,2026-09-19 21:45:19.611959,2026-09-19 21:45:19.915230,0 days 00:00:00.303271,0.14618962793704965,,auto,PRUNED
5,0.6000158252888115,2026-09-19 21:45:19.916231,2026-09-19 21:45:20.210284,0 days 00:00:00.294053,0.2920433847181412,,scale,PRUNED
6,0.6281848393733185,2026-09-19 21:45:20.210284,2026-09-19 21:45:20.530393,0 days 00:00:00.320109,1.1400863701127328,,auto,PRUNED
7,0.4974679537901566,2026-09-19 21:45:20.530393,2026-09-19 21:45:20.882400,0 days 00:00:00.352007,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5746557999683494,2026-09-19 21:45:20.882400,2026-09-19 21:45:21.179203,0 days 00:00:00.296803,0.1653693718282443,,auto,PRUNED
9,0.528169014084507,2026-09-19 21:45:21.179203,2026-09-19 21:45:21.532156,0 days 00:00:00.352953,0.030771802712506867,,auto,PRUNED
