number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8517639575280129,2026-09-19 19:40:42.656441,2026-09-19 19:41:00.383922,0 days 00:00:17.727481,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8173655624602436,2026-09-19 19:41:00.383922,2026-09-19 19:41:13.549059,0 days 00:00:13.165137,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.84503596418261,2026-09-19 19:41:13.549059,2026-09-19 19:41:16.946416,0 days 00:00:03.397357,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7199931496795029,2026-09-19 19:41:16.946416,2026-09-19 19:41:26.012455,0 days 00:00:09.066039,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.7536331164065175,2026-09-19 19:41:26.012455,2026-09-19 19:41:29.896111,0 days 00:00:03.883656,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.8579292459754366,2026-09-19 19:41:29.896111,2026-09-19 19:41:35.187817,0 days 00:00:05.291706,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.8470910603317512,2026-09-19 19:41:35.187817,2026-09-19 19:41:50.927383,0 days 00:00:15.739566,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.7811077946861085,2026-09-19 19:41:50.927383,2026-09-19 19:42:01.412651,0 days 00:00:10.485268,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8669080589127562,2026-09-19 19:42:01.412651,2026-09-19 19:42:15.672718,0 days 00:00:14.260067,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6297157116993688,2026-09-19 19:42:15.672718,2026-09-19 19:42:18.639710,0 days 00:00:02.966992,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
