number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6646523462347703,2026-09-19 19:49:38.723104,2026-09-19 19:50:17.979103,0 days 00:00:39.255999,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6190487840681117,2026-09-19 19:50:17.979103,2026-09-19 19:50:42.326743,0 days 00:00:24.347640,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.670817634682194,2026-09-19 19:50:42.326743,2026-09-19 19:50:55.246636,0 days 00:00:12.919893,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.557934139061506,2026-09-19 19:50:55.246636,2026-09-19 19:51:14.916476,0 days 00:00:19.669840,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5480256397710036,2026-09-19 19:51:14.916476,2026-09-19 19:51:19.855017,0 days 00:00:04.938541,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5590595488574643,2026-09-19 19:51:19.855017,2026-09-19 19:51:24.684839,0 days 00:00:04.829822,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5231687625385331,2026-09-19 19:51:24.684839,2026-09-19 19:51:41.634877,0 days 00:00:16.950038,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5065322699026276,2026-09-19 19:51:41.634877,2026-09-19 19:51:49.644059,0 days 00:00:08.009182,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.582986739736752,2026-09-19 19:51:49.644059,2026-09-19 19:52:06.554488,0 days 00:00:16.910429,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5943876302784166,2026-09-19 19:52:06.554488,2026-09-19 19:52:15.452106,0 days 00:00:08.897618,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
