number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6126877721779126,2026-09-19 19:42:36.653136,2026-09-19 19:43:14.405994,0 days 00:00:37.752858,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6229632529236189,2026-09-19 19:43:14.405994,2026-09-19 19:43:41.028019,0 days 00:00:26.622025,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5354993394333806,2026-09-19 19:43:41.028019,2026-09-19 19:43:48.447901,0 days 00:00:07.419882,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6379116308655869,2026-09-19 19:43:48.447901,2026-09-19 19:44:21.194152,0 days 00:00:32.746251,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5693350296031707,2026-09-19 19:44:21.194152,2026-09-19 19:44:26.728901,0 days 00:00:05.534749,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5547536331164065,2026-09-19 19:44:26.728901,2026-09-19 19:44:30.752668,0 days 00:00:04.023767,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6638939178940158,2026-09-19 19:44:30.752668,2026-09-19 19:45:10.077269,0 days 00:00:39.324601,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5751333365953907,2026-09-19 19:45:10.077269,2026-09-19 19:45:22.901823,0 days 00:00:12.824554,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5306307187943435,2026-09-19 19:45:22.901823,2026-09-19 19:45:36.454286,0 days 00:00:13.552463,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5454078387238831,2026-09-19 19:45:36.454286,2026-09-19 19:45:42.503030,0 days 00:00:06.048744,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
