number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6061310368449381,2026-09-19 19:46:24.796410,2026-09-19 19:47:02.466890,0 days 00:00:37.670480,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.6087488378920585,2026-09-19 19:47:02.466890,2026-09-19 19:47:12.626169,0 days 00:00:10.159279,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6179233742721535,2026-09-19 19:47:12.626169,2026-09-19 19:47:38.394627,0 days 00:00:25.768458,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.647648872143661,2026-09-19 19:47:38.394627,2026-09-19 19:47:55.188614,0 days 00:00:16.793987,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.5652248373048882,2026-09-19 19:47:55.189624,2026-09-19 19:48:10.042259,0 days 00:00:14.852635,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.5547536331164065,2026-09-19 19:48:10.042259,2026-09-19 19:48:18.210533,0 days 00:00:08.168274,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.6569946665361843,2026-09-19 19:48:18.210533,2026-09-19 19:48:49.522918,0 days 00:00:31.312385,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,COMPLETE
7,0.5558790429123648,2026-09-19 19:48:49.522918,2026-09-19 19:49:00.537787,0 days 00:00:11.014869,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.570460439399129,2026-09-19 19:49:00.538318,2026-09-19 19:49:08.277038,0 days 00:00:07.738720,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.5725155355482703,2026-09-19 19:49:08.277038,2026-09-19 19:49:14.368250,0 days 00:00:06.091212,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
