number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8257816704995841,2026-09-19 19:40:36.955415,2026-09-19 19:40:37.771291,0 days 00:00:00.815876,2.481040974867813,,auto,COMPLETE
1,0.8424181631354896,2026-09-19 19:40:37.771291,2026-09-19 19:40:38.636886,0 days 00:00:00.865595,29.154431891537552,,scale,COMPLETE
2,0.8330723687429662,2026-09-19 19:40:38.636886,2026-09-19 19:40:39.458527,0 days 00:00:00.821641,75.7947995334801,,auto,COMPLETE
3,0.5562215589372217,2026-09-19 19:40:39.458527,2026-09-19 19:40:39.812353,0 days 00:00:00.353826,0.05415244119402541,,scale,PRUNED
4,0.5897147330821549,2026-09-19 19:40:39.812353,2026-09-19 19:40:40.154671,0 days 00:00:00.342318,0.14618962793704965,,auto,PRUNED
5,0.5917698292312962,2026-09-19 19:40:40.154671,2026-09-19 19:40:40.490691,0 days 00:00:00.336020,0.2920433847181412,,scale,PRUNED
6,0.6297157116993688,2026-09-19 19:40:40.490691,2026-09-19 19:40:40.811687,0 days 00:00:00.320996,1.1400863701127328,,auto,PRUNED
7,0.5016636492635905,2026-09-19 19:40:40.811687,2026-09-19 19:40:41.157034,0 days 00:00:00.345347,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5870969320350344,2026-09-19 19:40:41.158034,2026-09-19 19:40:41.498984,0 days 00:00:00.340950,0.1653693718282443,,auto,PRUNED
9,0.496036600283799,2026-09-19 19:40:41.498984,2026-09-19 19:40:41.830990,0 days 00:00:00.332006,0.030771802712506867,,auto,PRUNED
