number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5,2026-09-19 19:52:24.873190,2026-09-19 19:52:48.761700,0 days 00:00:23.888510,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-19 19:52:48.761700,2026-09-19 19:52:58.897404,0 days 00:00:10.135704,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5,2026-09-19 19:52:58.897404,2026-09-19 19:53:04.389319,0 days 00:00:05.491915,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.49943729510202084,2026-09-19 19:53:04.389319,2026-09-19 19:53:27.824896,0 days 00:00:23.435577,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-19 19:53:27.824896,2026-09-19 19:53:32.955567,0 days 00:00:05.130671,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5,2026-09-19 19:53:32.955567,2026-09-19 19:53:39.576929,0 days 00:00:06.621362,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-19 19:53:39.576929,2026-09-19 19:54:02.571932,0 days 00:00:22.995003,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5,2026-09-19 19:54:02.571932,2026-09-19 19:54:14.333657,0 days 00:00:11.761725,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.506727993345403,2026-09-19 19:54:14.333657,2026-09-19 19:54:38.966039,0 days 00:00:24.632382,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5,2026-09-19 19:54:38.966039,2026-09-19 19:54:52.765966,0 days 00:00:13.799927,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
