number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8476718403547672,2026-09-19 19:55:33.216489,2026-09-19 19:55:48.360542,0 days 00:00:15.144053,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8485033259423503,2026-09-19 19:55:48.360542,2026-09-19 19:56:03.552933,0 days 00:00:15.192391,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.8568736141906874,2026-09-19 19:56:03.552933,2026-09-19 19:56:07.120852,0 days 00:00:03.567919,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6471729490022173,2026-09-19 19:56:07.120852,2026-09-19 19:56:12.029661,0 days 00:00:04.908809,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.6365299334811529,2026-09-19 19:56:12.029661,2026-09-19 19:56:13.726492,0 days 00:00:01.696831,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6365299334811529,2026-09-19 19:56:13.726492,2026-09-19 19:56:15.351186,0 days 00:00:01.624694,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6388026607538803,2026-09-19 19:56:15.351186,2026-09-19 19:56:21.604244,0 days 00:00:06.253058,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6426274944567627,2026-09-19 19:56:21.604244,2026-09-19 19:56:27.440507,0 days 00:00:05.836263,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6388026607538803,2026-09-19 19:56:27.440507,2026-09-19 19:56:32.251701,0 days 00:00:04.811194,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6327050997782705,2026-09-19 19:56:32.251701,2026-09-19 19:56:34.654942,0 days 00:00:02.403241,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
