number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6274390243902439,2026-09-19 20:04:48.255535,2026-09-19 20:05:32.976324,0 days 00:00:44.720789,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5781596452328159,2026-09-19 20:05:32.976324,2026-09-19 20:06:01.726820,0 days 00:00:28.750496,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6307649667405766,2026-09-19 20:06:01.726820,2026-09-19 20:06:11.435977,0 days 00:00:09.709157,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6884146341463414,2026-09-19 20:06:11.435977,2026-09-19 20:07:01.591304,0 days 00:00:50.155327,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6603104212860311,2026-09-19 20:07:01.591304,2026-09-19 20:07:18.614665,0 days 00:00:17.023361,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5542682926829268,2026-09-19 20:07:18.614665,2026-09-19 20:07:24.045693,0 days 00:00:05.431028,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6053215077605322,2026-09-19 20:07:24.045693,2026-09-19 20:07:56.660196,0 days 00:00:32.614503,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5146895787139689,2026-09-19 20:07:56.660196,2026-09-19 20:08:06.792884,0 days 00:00:10.132688,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6611419068736142,2026-09-19 20:08:06.792884,2026-09-19 20:08:50.075077,0 days 00:00:43.282193,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6747782705099779,2026-09-19 20:08:50.075077,2026-09-19 20:09:13.838255,0 days 00:00:23.763178,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
