number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.652660753880266,2026-09-19 19:56:40.444807,2026-09-19 19:57:21.239279,0 days 00:00:40.794472,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6014966740576497,2026-09-19 19:57:21.239279,2026-09-19 19:57:51.106535,0 days 00:00:29.867256,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6016075388026607,2026-09-19 19:57:51.106535,2026-09-19 19:58:02.126726,0 days 00:00:11.020191,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7175720620842572,2026-09-19 19:58:02.126726,2026-09-19 19:58:47.217726,0 days 00:00:45.091000,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.564079822616408,2026-09-19 19:58:47.217726,2026-09-19 19:58:54.149856,0 days 00:00:06.932130,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5396895787139689,2026-09-19 19:58:54.149856,2026-09-19 19:58:59.479355,0 days 00:00:05.329499,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5527161862527716,2026-09-19 19:58:59.479355,2026-09-19 19:59:19.219437,0 days 00:00:19.740082,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5358647450110865,2026-09-19 19:59:19.219437,2026-09-19 19:59:30.274330,0 days 00:00:11.054893,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5680155210643015,2026-09-19 19:59:30.274330,2026-09-19 19:59:47.793611,0 days 00:00:17.519281,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6580376940133038,2026-09-19 19:59:47.793611,2026-09-19 20:00:09.234130,0 days 00:00:21.440519,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
