number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6481152993348116,2026-09-19 20:00:57.874953,2026-09-19 20:01:40.337242,0 days 00:00:42.462289,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5867516629711751,2026-09-19 20:01:40.337242,2026-09-19 20:01:52.498240,0 days 00:00:12.160998,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6282705099778271,2026-09-19 20:01:52.498240,2026-09-19 20:02:25.553441,0 days 00:00:33.055201,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.5518847006651885,2026-09-19 20:02:25.553441,2026-09-19 20:02:32.892641,0 days 00:00:07.339200,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,PRUNED
4,0.5542682926829268,2026-09-19 20:02:32.892641,2026-09-19 20:02:53.776520,0 days 00:00:20.883879,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.5535476718403548,2026-09-19 20:02:53.776520,2026-09-19 20:03:07.426942,0 days 00:00:13.650422,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.5435144124168515,2026-09-19 20:03:07.426942,2026-09-19 20:03:22.746955,0 days 00:00:15.320013,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.5618070953436807,2026-09-19 20:03:22.746955,2026-09-19 20:03:38.168164,0 days 00:00:15.421209,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.5396895787139689,2026-09-19 20:03:38.168164,2026-09-19 20:03:47.157100,0 days 00:00:08.988936,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.5595343680709535,2026-09-19 20:03:47.157100,2026-09-19 20:03:53.240453,0 days 00:00:06.083353,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
