number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8255543237250554,2026-09-19 19:55:26.392293,2026-09-19 19:55:27.388869,0 days 00:00:00.996576,2.481040974867813,,auto,COMPLETE
1,0.8271064301552107,2026-09-19 19:55:27.388869,2026-09-19 19:55:28.395142,0 days 00:00:01.006273,29.154431891537552,,scale,COMPLETE
2,0.8332039911308204,2026-09-19 19:55:28.395142,2026-09-19 19:55:29.392919,0 days 00:00:00.997777,75.7947995334801,,auto,COMPLETE
3,0.5182926829268293,2026-09-19 19:55:29.392919,2026-09-19 19:55:29.852714,0 days 00:00:00.459795,0.05415244119402541,,scale,PRUNED
4,0.6151330376940133,2026-09-19 19:55:29.852714,2026-09-19 19:55:30.290571,0 days 00:00:00.437857,0.14618962793704965,,auto,PRUNED
5,0.6318736141906873,2026-09-19 19:55:30.290571,2026-09-19 19:55:30.666782,0 days 00:00:00.376211,0.2920433847181412,,scale,PRUNED
6,0.6273281596452328,2026-09-19 19:55:30.666782,2026-09-19 19:55:31.041742,0 days 00:00:00.374960,1.1400863701127328,,auto,PRUNED
7,0.4975609756097561,2026-09-19 19:55:31.041742,2026-09-19 19:55:31.496347,0 days 00:00:00.454605,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.612860310421286,2026-09-19 19:55:31.496347,2026-09-19 19:55:31.914866,0 days 00:00:00.418519,0.1653693718282443,,auto,PRUNED
9,0.537860310421286,2026-09-19 19:55:31.914866,2026-09-19 19:55:32.368474,0 days 00:00:00.453608,0.030771802712506867,,auto,PRUNED
