number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5008314855875832,2026-09-19 20:09:53.764844,2026-09-19 20:10:29.059607,0 days 00:00:35.294763,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-19 20:10:29.059607,2026-09-19 20:10:43.285742,0 days 00:00:14.226135,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.49700665188470067,2026-09-19 20:10:43.285742,2026-09-19 20:10:54.592231,0 days 00:00:11.306489,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5053769401330377,2026-09-19 20:10:54.592231,2026-09-19 20:11:34.899288,0 days 00:00:40.307057,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-19 20:11:34.899288,2026-09-19 20:11:37.727511,0 days 00:00:02.828223,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.4947339246119734,2026-09-19 20:11:37.727511,2026-09-19 20:11:46.971991,0 days 00:00:09.244480,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.49772727272727274,2026-09-19 20:11:46.971991,2026-09-19 20:12:15.003101,0 days 00:00:28.031110,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5,2026-09-19 20:12:15.003101,2026-09-19 20:12:24.648531,0 days 00:00:09.645430,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5170731707317073,2026-09-19 20:12:24.648531,2026-09-19 20:12:55.041372,0 days 00:00:30.392841,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5015521064301552,2026-09-19 20:12:55.041372,2026-09-19 20:13:06.729733,0 days 00:00:11.688361,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
