number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.38076311605723373,2026-09-19 20:13:43.499661,2026-09-19 20:13:45.764301,0 days 00:00:02.264640,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5254372019077902,2026-09-19 20:13:45.764301,2026-09-19 20:13:47.986007,0 days 00:00:02.221706,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5071542130365659,2026-09-19 20:13:47.986007,2026-09-19 20:13:48.771646,0 days 00:00:00.785639,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.4594594594594595,2026-09-19 20:13:48.771646,2026-09-19 20:13:49.493703,0 days 00:00:00.722057,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.4753577106518283,2026-09-19 20:13:49.493703,2026-09-19 20:13:49.906353,0 days 00:00:00.412650,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.4618441971383148,2026-09-19 20:13:49.906353,2026-09-19 20:13:50.269296,0 days 00:00:00.362943,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.534181240063593,2026-09-19 20:13:50.269296,2026-09-19 20:13:52.478823,0 days 00:00:02.209527,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.4753577106518283,2026-09-19 20:13:52.478823,2026-09-19 20:13:53.278246,0 days 00:00:00.799423,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5095389507154213,2026-09-19 20:13:53.278246,2026-09-19 20:13:55.309659,0 days 00:00:02.031413,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.568362480127186,2026-09-19 20:13:55.309659,2026-09-19 20:13:56.648179,0 days 00:00:01.338520,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
