number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5453100158982512,2026-09-19 20:15:39.994999,2026-09-19 20:15:47.482391,0 days 00:00:07.487392,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5294117647058824,2026-09-19 20:15:47.482391,2026-09-19 20:15:51.018684,0 days 00:00:03.536293,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.4864864864864865,2026-09-19 20:15:51.018684,2026-09-19 20:15:53.393860,0 days 00:00:02.375176,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5158982511923689,2026-09-19 20:15:53.393860,2026-09-19 20:15:58.952672,0 days 00:00:05.558812,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5,2026-09-19 20:15:58.952672,2026-09-19 20:16:01.210489,0 days 00:00:02.257817,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.4864864864864865,2026-09-19 20:16:01.210489,2026-09-19 20:16:03.155074,0 days 00:00:01.944585,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5294117647058824,2026-09-19 20:16:03.155074,2026-09-19 20:16:11.025116,0 days 00:00:07.870042,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.4864864864864865,2026-09-19 20:16:11.025116,2026-09-19 20:16:12.896205,0 days 00:00:01.871089,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.4864864864864865,2026-09-19 20:16:12.896205,2026-09-19 20:16:16.219654,0 days 00:00:03.323449,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5,2026-09-19 20:16:16.220654,2026-09-19 20:16:18.664016,0 days 00:00:02.443362,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
