number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5206677265500795,2026-09-19 20:16:26.026201,2026-09-19 20:16:31.292349,0 days 00:00:05.266148,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5047694753577107,2026-09-19 20:16:31.292349,2026-09-19 20:16:34.396025,0 days 00:00:03.103676,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5047694753577107,2026-09-19 20:16:34.396025,2026-09-19 20:16:36.191021,0 days 00:00:01.794996,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5047694753577107,2026-09-19 20:16:36.191021,2026-09-19 20:16:41.522030,0 days 00:00:05.331009,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-19 20:16:41.522030,2026-09-19 20:16:42.558382,0 days 00:00:01.036352,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5,2026-09-19 20:16:42.558382,2026-09-19 20:16:43.406144,0 days 00:00:00.847762,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.48012718600953896,2026-09-19 20:16:43.406144,2026-09-19 20:16:48.427549,0 days 00:00:05.021405,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.48012718600953896,2026-09-19 20:16:48.427549,2026-09-19 20:16:51.748622,0 days 00:00:03.321073,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.48012718600953896,2026-09-19 20:16:51.748622,2026-09-19 20:16:58.004642,0 days 00:00:06.256020,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5047694753577107,2026-09-19 20:16:58.004642,2026-09-19 20:17:02.077951,0 days 00:00:04.073309,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
