number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.579004329004329,2026-09-19 20:17:10.017948,2026-09-19 20:17:13.545924,0 days 00:00:03.527976,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5216450216450216,2026-09-19 20:17:13.545924,2026-09-19 20:17:16.760108,0 days 00:00:03.214184,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5454545454545454,2026-09-19 20:17:16.760108,2026-09-19 20:17:18.054526,0 days 00:00:01.294418,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5335497835497836,2026-09-19 20:17:18.054526,2026-09-19 20:17:20.162568,0 days 00:00:02.108042,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5454545454545454,2026-09-19 20:17:20.162568,2026-09-19 20:17:21.735746,0 days 00:00:01.573178,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5335497835497836,2026-09-19 20:17:21.735746,2026-09-19 20:17:22.521622,0 days 00:00:00.785876,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5454545454545454,2026-09-19 20:17:22.521622,2026-09-19 20:17:26.616936,0 days 00:00:04.095314,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5454545454545454,2026-09-19 20:17:26.616936,2026-09-19 20:17:30.211739,0 days 00:00:03.594803,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5551948051948052,2026-09-19 20:17:30.211739,2026-09-19 20:17:33.970727,0 days 00:00:03.758988,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5909090909090909,2026-09-19 20:17:33.970727,2026-09-19 20:17:35.897951,0 days 00:00:01.927224,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
