number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.5454545454545454,2026-09-19 20:19:24.603710,2026-09-19 20:19:33.364445,0 days 00:00:08.760735,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5,2026-09-19 20:19:33.364445,2026-09-19 20:19:36.609026,0 days 00:00:03.244581,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5,2026-09-19 20:19:36.609026,2026-09-19 20:19:38.809250,0 days 00:00:02.200224,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5,2026-09-19 20:19:38.809250,2026-09-19 20:19:46.494133,0 days 00:00:07.684883,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-19 20:19:46.494133,2026-09-19 20:19:48.219627,0 days 00:00:01.725494,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.4880952380952381,2026-09-19 20:19:48.219627,2026-09-19 20:19:51.685357,0 days 00:00:03.465730,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.5,2026-09-19 20:19:51.685357,2026-09-19 20:20:01.494637,0 days 00:00:09.809280,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5454545454545454,2026-09-19 20:20:01.494637,2026-09-19 20:20:04.257116,0 days 00:00:02.762479,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5,2026-09-19 20:20:04.257116,2026-09-19 20:20:11.632832,0 days 00:00:07.375716,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5,2026-09-19 20:20:11.632832,2026-09-19 20:20:16.082181,0 days 00:00:04.449349,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
