number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6553391053391053,2026-09-19 20:22:19.956012,2026-09-19 20:22:51.130651,0 days 00:00:31.174639,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6434343434343435,2026-09-19 20:22:51.130651,2026-09-19 20:23:17.776843,0 days 00:00:26.646192,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5943001443001443,2026-09-19 20:23:17.776843,2026-09-19 20:23:24.377909,0 days 00:00:06.601066,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5235209235209235,2026-09-19 20:23:24.377909,2026-09-19 20:23:33.043950,0 days 00:00:08.666041,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.6716450216450216,2026-09-19 20:23:33.043950,2026-09-19 20:23:43.737069,0 days 00:00:10.693119,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.5416305916305916,2026-09-19 20:23:43.737069,2026-09-19 20:23:47.369082,0 days 00:00:03.632013,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5485569985569986,2026-09-19 20:23:47.369082,2026-09-19 20:23:57.147726,0 days 00:00:09.778644,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6438672438672439,2026-09-19 20:23:57.147726,2026-09-19 20:24:20.075179,0 days 00:00:22.927453,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5267676767676768,2026-09-19 20:24:20.076169,2026-09-19 20:24:29.786394,0 days 00:00:09.710225,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6405483405483405,2026-09-19 20:24:29.786394,2026-09-19 20:24:45.073933,0 days 00:00:15.287539,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
