number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6512987012987013,2026-09-19 20:24:54.465485,2026-09-19 20:25:28.350141,0 days 00:00:33.884656,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5577922077922078,2026-09-19 20:25:28.351739,2026-09-19 20:25:36.211184,0 days 00:00:07.859445,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6661616161616162,2026-09-19 20:25:36.211184,2026-09-19 20:25:59.275838,0 days 00:00:23.064654,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.69992784992785,2026-09-19 20:25:59.275838,2026-09-19 20:26:14.774436,0 days 00:00:15.498598,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.5026695526695526,2026-09-19 20:26:14.774436,2026-09-19 20:26:25.938642,0 days 00:00:11.164206,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.6752525252525252,2026-09-19 20:26:25.938642,2026-09-19 20:26:41.845157,0 days 00:00:15.906515,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,COMPLETE
6,0.5425685425685426,2026-09-19 20:26:41.845157,2026-09-19 20:26:54.362173,0 days 00:00:12.517016,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.6781385281385282,2026-09-19 20:26:54.362173,2026-09-19 20:27:22.423950,0 days 00:00:28.061777,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,COMPLETE
8,0.5795815295815295,2026-09-19 20:27:22.423950,2026-09-19 20:27:30.448445,0 days 00:00:08.024495,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.5527417027417028,2026-09-19 20:27:30.448445,2026-09-19 20:27:35.793383,0 days 00:00:05.344938,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
