number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8665945165945166,2026-09-19 20:21:10.143757,2026-09-19 20:21:10.673889,0 days 00:00:00.530132,2.481040974867813,,auto,COMPLETE
1,0.8832611832611832,2026-09-19 20:21:10.673889,2026-09-19 20:21:11.209434,0 days 00:00:00.535545,29.154431891537552,,scale,COMPLETE
2,0.8707792207792209,2026-09-19 20:21:11.209434,2026-09-19 20:21:11.742297,0 days 00:00:00.532863,75.7947995334801,,auto,COMPLETE
3,0.5367965367965368,2026-09-19 20:21:11.742297,2026-09-19 20:21:11.969088,0 days 00:00:00.226791,0.05415244119402541,,scale,PRUNED
4,0.5958152958152958,2026-09-19 20:21:11.969088,2026-09-19 20:21:12.182201,0 days 00:00:00.213113,0.14618962793704965,,auto,PRUNED
5,0.6170995670995671,2026-09-19 20:21:12.182201,2026-09-19 20:21:12.397525,0 days 00:00:00.215324,0.2920433847181412,,scale,PRUNED
6,0.6684704184704184,2026-09-19 20:21:12.397525,2026-09-19 20:21:12.658421,0 days 00:00:00.260896,1.1400863701127328,,auto,PRUNED
7,0.49610389610389616,2026-09-19 20:21:12.658421,2026-09-19 20:21:12.877420,0 days 00:00:00.218999,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.6115440115440116,2026-09-19 20:21:12.877420,2026-09-19 20:21:13.093424,0 days 00:00:00.216004,0.1653693718282443,,auto,PRUNED
9,0.4797258297258298,2026-09-19 20:21:13.093424,2026-09-19 20:21:13.315263,0 days 00:00:00.221839,0.030771802712506867,,auto,PRUNED
