number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6846019939863902,2026-09-19 20:34:11.981035,2026-09-19 20:34:52.229329,0 days 00:00:40.248294,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.640884633644564,2026-09-19 20:34:52.229329,2026-09-19 20:35:23.187295,0 days 00:00:30.957966,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6508941288178509,2026-09-19 20:35:23.187295,2026-09-19 20:35:32.111538,0 days 00:00:08.924243,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5648045576831777,2026-09-19 20:35:32.111538,2026-09-19 20:35:45.747237,0 days 00:00:13.635699,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5676531096692514,2026-09-19 20:35:45.747237,2026-09-19 20:35:49.802840,0 days 00:00:04.055603,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5648441209052065,2026-09-19 20:35:49.802840,2026-09-19 20:35:54.066614,0 days 00:00:04.263774,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.691644247507517,2026-09-19 20:35:54.066614,2026-09-19 20:36:32.661703,0 days 00:00:38.595089,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5619955689191327,2026-09-19 20:36:32.661703,2026-09-19 20:36:44.619285,0 days 00:00:11.957582,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5578414306061086,2026-09-19 20:36:44.619285,2026-09-19 20:36:56.996416,0 days 00:00:12.377131,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5381389460357652,2026-09-19 20:36:56.997416,2026-09-19 20:37:03.891638,0 days 00:00:06.894222,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
