number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8648520335496123,2026-09-19 20:32:26.355215,2026-09-19 20:32:27.004609,0 days 00:00:00.649394,2.481040974867813,,auto,COMPLETE
1,0.8676610223136572,2026-09-19 20:32:27.004609,2026-09-19 20:32:27.678309,0 days 00:00:00.673700,29.154431891537552,,scale,COMPLETE
2,0.8747032758347839,2026-09-19 20:32:27.678309,2026-09-19 20:32:28.325504,0 days 00:00:00.647195,75.7947995334801,,auto,COMPLETE
3,0.5436777971197975,2026-09-19 20:32:28.325504,2026-09-19 20:32:28.612250,0 days 00:00:00.286746,0.05415244119402541,,scale,PRUNED
4,0.5760800759613862,2026-09-19 20:32:28.612250,2026-09-19 20:32:28.886269,0 days 00:00:00.274019,0.14618962793704965,,auto,PRUNED
5,0.6211425858521917,2026-09-19 20:32:28.886269,2026-09-19 20:32:29.136373,0 days 00:00:00.250104,0.2920433847181412,,scale,PRUNED
6,0.6493115999366988,2026-09-19 20:32:29.136373,2026-09-19 20:32:29.383690,0 days 00:00:00.247317,1.1400863701127328,,auto,PRUNED
7,0.4974679537901566,2026-09-19 20:32:29.383690,2026-09-19 20:32:29.664693,0 days 00:00:00.281003,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.6183335970881468,2026-09-19 20:32:29.664693,2026-09-19 20:32:29.925438,0 days 00:00:00.260745,0.1653693718282443,,auto,PRUNED
9,0.5621933850292767,2026-09-19 20:32:29.925438,2026-09-19 20:32:30.207169,0 days 00:00:00.281731,0.030771802712506867,,auto,PRUNED
