number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.4859550561797753,2026-09-19 20:45:56.148522,2026-09-19 20:46:25.808498,0 days 00:00:29.659976,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.50858521918025,2026-09-19 20:46:25.808498,2026-09-19 20:46:38.617649,0 days 00:00:12.809151,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.4943820224719101,2026-09-19 20:46:38.617649,2026-09-19 20:46:46.493578,0 days 00:00:07.875929,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.5056575407501187,2026-09-19 20:46:46.493578,2026-09-19 20:47:20.707573,0 days 00:00:34.213995,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.4943820224719101,2026-09-19 20:47:20.707573,2026-09-19 20:47:24.162225,0 days 00:00:03.454652,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5,2026-09-19 20:47:24.162225,2026-09-19 20:47:28.802819,0 days 00:00:04.640594,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.5,2026-09-19 20:47:28.802819,2026-09-19 20:47:43.781625,0 days 00:00:14.978806,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5,2026-09-19 20:47:43.781625,2026-09-19 20:47:50.058609,0 days 00:00:06.276984,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5,2026-09-19 20:47:50.058609,2026-09-19 20:48:04.903164,0 days 00:00:14.844555,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5,2026-09-19 20:48:04.903164,2026-09-19 20:48:12.845885,0 days 00:00:07.942721,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,PRUNED
