number,value,datetime_start,datetime_complete,duration,params_n_components,state
0,0.853256348779175,2026-09-19 22:36:08.511849,2026-09-19 22:36:08.645854,0 days 00:00:00.134005,4,COMPLETE
1,0.7749180408083378,2026-09-19 22:36:08.645854,2026-09-19 22:36:08.903870,0 days 00:00:00.258016,12,COMPLETE
2,0.7134119489161814,2026-09-19 22:36:08.903870,2026-09-19 22:36:09.335236,0 days 00:00:00.431366,24,COMPLETE
3,0.7749180408083378,2026-09-19 22:36:09.336237,2026-09-19 22:36:09.595284,0 days 00:00:00.259047,12,COMPLETE
4,0.5910114008905416,2026-09-19 22:36:09.595284,2026-09-19 22:36:09.765293,0 days 00:00:00.170009,24,PRUNED
5,0.8351274648921074,2026-09-19 22:36:09.765293,2026-09-19 22:36:09.865725,0 days 00:00:00.100432,2,COMPLETE
6,0.853256348779175,2026-09-19 22:36:09.866727,2026-09-19 22:36:09.996728,0 days 00:00:00.130001,4,COMPLETE
7,0.853256348779175,2026-09-19 22:36:09.996728,2026-09-19 22:36:10.154726,0 days 00:00:00.157998,4,COMPLETE
8,0.5910114008905416,2026-09-19 22:36:10.154726,2026-09-19 22:36:10.325796,0 days 00:00:00.171070,24,PRUNED
9,0.5910114008905416,2026-09-19 22:36:10.326797,2026-09-19 22:36:10.496385,0 days 00:00:00.169588,24,PRUNED
