number,value,datetime_start,datetime_complete,duration,params_n_components,state
0,0.8103658536585365,2026-09-19 22:36:11.063366,2026-09-19 22:36:11.193892,0 days 00:00:00.130526,4,COMPLETE
1,0.7937361419068736,2026-09-19 22:36:11.193892,2026-09-19 22:36:11.465737,0 days 00:00:00.271845,12,COMPLETE
2,0.7785476718403548,2026-09-19 22:36:11.465737,2026-09-19 22:36:11.942688,0 days 00:00:00.476951,24,COMPLETE
3,0.6739467849223947,2026-09-19 22:36:11.942688,2026-09-19 22:36:12.088545,0 days 00:00:00.145857,12,PRUNED
4,0.6136917960088693,2026-09-19 22:36:12.088545,2026-09-19 22:36:12.288320,0 days 00:00:00.199775,24,PRUNED
5,0.8248337028824834,2026-09-19 22:36:12.288320,2026-09-19 22:36:12.394605,0 days 00:00:00.106285,2,COMPLETE
6,0.6792128603104213,2026-09-19 22:36:12.394605,2026-09-19 22:36:12.478606,0 days 00:00:00.084001,4,PRUNED
7,0.6792128603104213,2026-09-19 22:36:12.478606,2026-09-19 22:36:12.557605,0 days 00:00:00.078999,4,PRUNED
8,0.6136917960088693,2026-09-19 22:36:12.557605,2026-09-19 22:36:12.728605,0 days 00:00:00.171000,24,PRUNED
9,0.6136917960088693,2026-09-19 22:36:12.728605,2026-09-19 22:36:12.901692,0 days 00:00:00.173087,24,PRUNED
