number,value,datetime_start,datetime_complete,duration,params_n_components,state
0,0.8841991341991342,2026-09-19 22:36:16.611318,2026-09-19 22:36:16.715318,0 days 00:00:00.104000,4,COMPLETE
1,0.8285714285714285,2026-09-19 22:36:16.715318,2026-09-19 22:36:16.902600,0 days 00:00:00.187282,12,COMPLETE
2,0.8002886002886003,2026-09-19 22:36:16.902600,2026-09-19 22:36:17.268471,0 days 00:00:00.365871,24,COMPLETE
3,0.8285714285714285,2026-09-19 22:36:17.268471,2026-09-19 22:36:17.480032,0 days 00:00:00.211561,12,COMPLETE
4,0.624025974025974,2026-09-19 22:36:17.481034,2026-09-19 22:36:17.624034,0 days 00:00:00.143000,24,PRUNED
5,0.8795815295815296,2026-09-19 22:36:17.624034,2026-09-19 22:36:17.699037,0 days 00:00:00.075003,2,COMPLETE
6,0.8841991341991342,2026-09-19 22:36:17.699037,2026-09-19 22:36:17.800038,0 days 00:00:00.101001,4,COMPLETE
7,0.8841991341991342,2026-09-19 22:36:17.800038,2026-09-19 22:36:17.897636,0 days 00:00:00.097598,4,COMPLETE
8,0.624025974025974,2026-09-19 22:36:17.897636,2026-09-19 22:36:18.028530,0 days 00:00:00.130894,24,PRUNED
9,0.624025974025974,2026-09-19 22:36:18.028530,2026-09-19 22:36:18.167327,0 days 00:00:00.138797,24,PRUNED
