number,value,datetime_start,datetime_complete,duration,params_n_components,state
0,0.8704700110777022,2026-09-19 22:36:18.627894,2026-09-19 22:36:18.724890,0 days 00:00:00.096996,4,COMPLETE
1,0.7902753600253205,2026-09-19 22:36:18.724890,2026-09-19 22:36:18.911216,0 days 00:00:00.186326,12,COMPLETE
2,0.7635306219338502,2026-09-19 22:36:18.911216,2026-09-19 22:36:19.247918,0 days 00:00:00.336702,24,COMPLETE
3,0.7902753600253205,2026-09-19 22:36:19.247918,2026-09-19 22:36:19.439948,0 days 00:00:00.192030,12,COMPLETE
4,0.6338423801234373,2026-09-19 22:36:19.439948,2026-09-19 22:36:19.566046,0 days 00:00:00.126098,24,PRUNED
5,0.8648520335496123,2026-09-19 22:36:19.566046,2026-09-19 22:36:19.641054,0 days 00:00:00.075008,2,COMPLETE
6,0.8704700110777022,2026-09-19 22:36:19.641054,2026-09-19 22:36:19.769043,0 days 00:00:00.127989,4,COMPLETE
7,0.8704700110777022,2026-09-19 22:36:19.769043,2026-09-19 22:36:19.878045,0 days 00:00:00.109002,4,COMPLETE
8,0.6338423801234373,2026-09-19 22:36:19.878045,2026-09-19 22:36:20.023828,0 days 00:00:00.145783,24,PRUNED
9,0.6338423801234373,2026-09-19 22:36:20.023828,2026-09-19 22:36:20.152823,0 days 00:00:00.128995,24,PRUNED
