number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.804490022172949,2026-09-19 22:24:31.784488,2026-09-19 22:25:15.089340,0 days 00:00:43.304852,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8263858093126386,2026-09-19 22:25:15.089340,2026-09-19 22:25:39.404293,0 days 00:00:24.314953,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6601995565410199,2026-09-19 22:25:39.404293,2026-09-19 22:25:54.064623,0 days 00:00:14.660330,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6113082039911308,2026-09-19 22:25:54.064623,2026-09-19 22:26:06.953062,0 days 00:00:12.888439,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.6098669623059867,2026-09-19 22:26:06.953062,2026-09-19 22:26:13.157223,0 days 00:00:06.204161,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5824833702882484,2026-09-19 22:26:13.157223,2026-09-19 22:26:18.873211,0 days 00:00:05.715988,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6022172949002218,2026-09-19 22:26:18.873211,2026-09-19 22:26:32.447831,0 days 00:00:13.574620,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.7937361419068736,2026-09-19 22:26:32.447831,2026-09-19 22:26:59.367860,0 days 00:00:26.920029,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5893015521064302,2026-09-19 22:26:59.367860,2026-09-19 22:27:14.042707,0 days 00:00:14.674847,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.604490022172949,2026-09-19 22:27:14.042707,2026-09-19 22:27:23.175237,0 days 00:00:09.132530,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
