number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8341991341991342,2026-09-19 22:29:31.927217,2026-09-19 22:29:56.981219,0 days 00:00:25.054002,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.836002886002886,2026-09-19 22:29:56.981219,2026-09-19 22:30:16.831763,0 days 00:00:19.850544,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6759018759018759,2026-09-19 22:30:16.831763,2026-09-19 22:30:27.276269,0 days 00:00:10.444506,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7406926406926406,2026-09-19 22:30:27.276269,2026-09-19 22:30:52.898467,0 days 00:00:25.622198,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5916305916305916,2026-09-19 22:30:52.898467,2026-09-19 22:30:57.497967,0 days 00:00:04.599500,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5601731601731602,2026-09-19 22:30:57.497967,2026-09-19 22:31:02.294163,0 days 00:00:04.796196,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6203463203463203,2026-09-19 22:31:02.294163,2026-09-19 22:31:14.945875,0 days 00:00:12.651712,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.8675324675324676,2026-09-19 22:31:14.945875,2026-09-19 22:31:34.853395,0 days 00:00:19.907520,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.6198412698412699,2026-09-19 22:31:34.853395,2026-09-19 22:31:46.551621,0 days 00:00:11.698226,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6962481962481962,2026-09-19 22:31:46.551621,2026-09-19 22:31:56.698919,0 days 00:00:10.147298,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
