number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8578097800284855,2026-09-19 22:32:19.413195,2026-09-19 22:32:58.952849,0 days 00:00:39.539654,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8169805348947619,2026-09-19 22:32:58.952849,2026-09-19 22:33:22.959051,0 days 00:00:24.006202,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6437331856306377,2026-09-19 22:33:22.959051,2026-09-19 22:33:35.053821,0 days 00:00:12.094770,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8226380756448806,2026-09-19 22:33:35.053821,2026-09-19 22:34:14.331724,0 days 00:00:39.277903,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6774806140212059,2026-09-19 22:34:14.331724,2026-09-19 22:34:23.703630,0 days 00:00:09.371906,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6225668618452287,2026-09-19 22:34:23.703630,2026-09-19 22:34:29.140625,0 days 00:00:05.436995,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6380360816584902,2026-09-19 22:34:29.140625,2026-09-19 22:34:47.824700,0 days 00:00:18.684075,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6803291660072797,2026-09-19 22:34:47.824700,2026-09-19 22:35:02.243952,0 days 00:00:14.419252,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6296091153663554,2026-09-19 22:35:02.243952,2026-09-19 22:35:14.333745,0 days 00:00:12.089793,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6733264757081816,2026-09-19 22:35:14.333745,2026-09-19 22:35:23.139024,0 days 00:00:08.805279,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
