number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7291432206292509,2026-09-19 22:02:39.294427,2026-09-19 22:03:15.557023,0 days 00:00:36.262596,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7377305866810198,2026-09-19 22:03:15.557023,2026-09-19 22:03:35.528786,0 days 00:00:19.971763,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.7130449674609776,2026-09-19 22:03:35.528786,2026-09-19 22:03:47.225439,0 days 00:00:11.696653,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6005529187258404,2026-09-19 22:03:47.225439,2026-09-19 22:04:03.762981,0 days 00:00:16.537542,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5508391642608993,2026-09-19 22:04:03.762981,2026-09-19 22:04:08.692395,0 days 00:00:04.929414,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.611953809267505,2026-09-19 22:04:08.692395,2026-09-19 22:04:14.342922,0 days 00:00:05.650527,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.7975485638792386,2026-09-19 22:04:14.342922,2026-09-19 22:05:12.128230,0 days 00:00:57.785308,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.7590399765131868,2026-09-19 22:05:12.128230,2026-09-19 22:06:04.141870,0 days 00:00:52.013640,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.759602681411166,2026-09-19 22:06:04.141870,2026-09-19 22:07:13.039314,0 days 00:01:08.897444,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5695062876155992,2026-09-19 22:07:13.039314,2026-09-19 22:07:18.216374,0 days 00:00:05.177060,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
