number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8104767184035477,2026-09-19 22:08:07.400020,2026-09-19 22:08:51.355249,0 days 00:00:43.955229,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8242239467849224,2026-09-19 22:08:51.355249,2026-09-19 22:09:16.818166,0 days 00:00:25.462917,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5907427937915742,2026-09-19 22:09:16.818166,2026-09-19 22:09:28.639954,0 days 00:00:11.821788,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.588470066518847,2026-09-19 22:09:28.639954,2026-09-19 22:09:41.630724,0 days 00:00:12.990770,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5518847006651885,2026-09-19 22:09:41.630724,2026-09-19 22:09:46.851286,0 days 00:00:05.220562,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5842572062084257,2026-09-19 22:09:46.851286,2026-09-19 22:09:52.237220,0 days 00:00:05.385934,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.7707871396895787,2026-09-19 22:09:52.237220,2026-09-19 22:10:35.099568,0 days 00:00:42.862348,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6311529933481153,2026-09-19 22:10:35.099568,2026-09-19 22:10:49.090579,0 days 00:00:13.991011,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8157427937915742,2026-09-19 22:10:49.090579,2026-09-19 22:11:33.939568,0 days 00:00:44.848989,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5809312638580931,2026-09-19 22:11:33.939568,2026-09-19 22:11:39.315291,0 days 00:00:05.375723,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
